municipio_id;ano_previsao;previsao_homicidios;margem_erro_k;previsao_min;previsao_max;correlacao_temporal_r;erro_padrao_se;fator_penalidade_fr;n_anos_dados
1;2019;1;3.3266599866332442;0;4;0.6827243455226345;1.6633299933166221;2.0;5
1;2020;1;3.3266599866332442;0;5;0.6827243455226345;1.6633299933166221;2.0;5
1;2021;2;3.3266599866332442;0;5;0.6827243455226345;1.6633299933166221;2.0;5
1;2022;2;3.3266599866332442;0;5;0.6827243455226345;1.6633299933166221;2.0;5
1;2023;2;3.3266599866332442;0;6;0.6827243455226345;1.6633299933166221;2.0;5
1;2024;2;3.3266599866332442;0;6;0.6827243455226345;1.6633299933166221;2.0;5
2;2019;0;1.5138251770487263;0;2;0.372677996249965;0.6055300708194905;2.5;5
2;2020;0;1.5138251770487263;0;2;0.372677996249965;0.6055300708194905;2.5;5
2;2021;0;1.5138251770487263;0;2;0.372677996249965;0.6055300708194905;2.5;5
2;2022;0;1.5138251770487263;0;2;0.372677996249965;0.6055300708194905;2.5;5
2;2023;1;1.5138251770487263;0;2;0.372677996249965;0.6055300708194905;2.5;5
2;2024;1;1.5138251770487263;0;2;0.372677996249965;0.6055300708194905;2.5;5
3;2019;2;3.2596012026012877;0;5;-0.4564354645876385;1.303840481040515;2.5;5
3;2020;1;3.2596012026012877;0;5;-0.4564354645876385;1.303840481040515;2.5;5
3;2021;1;3.2596012026012877;0;4;-0.4564354645876385;1.303840481040515;2.5;5
3;2022;1;3.2596012026012877;0;4;-0.4564354645876385;1.303840481040515;2.5;5
3;2023;0;3.2596012026012877;0;4;-0.4564354645876385;1.303840481040515;2.5;5
3;2024;0;3.2596012026012877;0;3;-0.4564354645876385;1.303840481040515;2.5;5
4;2019;98;58.23086237841064;40;157;-0.37876353552384845;23.292344951364257;2.5;5
4;2020;84;58.23086237841064;26;142;-0.37876353552384845;23.292344951364257;2.5;5
4;2021;70;58.23086237841064;12;128;-0.37876353552384845;23.292344951364257;2.5;5
4;2022;56;58.23086237841064;0;114;-0.37876353552384845;23.292344951364257;2.5;5
4;2023;42;58.23086237841064;0;100;-0.37876353552384845;23.292344951364257;2.5;5
4;2024;27;58.23086237841064;0;86;-0.37876353552384845;23.292344951364257;2.5;5
5;2019;2;2.309401076758503;0;4;0.5590169943749475;1.1547005383792515;2.0;5
5;2020;2;2.309401076758503;0;4;0.5590169943749475;1.1547005383792515;2.0;5
5;2021;2;2.309401076758503;0;4;0.5590169943749475;1.1547005383792515;2.0;5
5;2022;2;2.309401076758503;0;4;0.5590169943749475;1.1547005383792515;2.0;5
5;2023;2;2.309401076758503;0;4;0.5590169943749475;1.1547005383792515;2.0;5
5;2024;2;2.309401076758503;0;4;0.5590169943749475;1.1547005383792515;2.0;5
6;2019;6;10.224154406763029;0;16;0.6821562372388006;5.1120772033815145;2.0;5
6;2020;7;10.224154406763029;0;18;0.6821562372388006;5.1120772033815145;2.0;5
6;2021;9;10.224154406763029;0;19;0.6821562372388006;5.1120772033815145;2.0;5
