municipio_id;ano_previsao;previsao_homicidios;margem_erro_k;previsao_min;previsao_max;correlacao_temporal_r;erro_padrao_se;fator_penalidade_fr;n_anos_dados
1;2019;0;0.816496580927726;0;0;0.9707253433941512;0.816496580927726;1.0;3
1;2020;2;0.816496580927726;1;2;0.9707253433941512;0.816496580927726;1.0;3
1;2021;4;0.816496580927726;3;4;0.9707253433941512;0.816496580927726;1.0;3
1;2022;6;0.816496580927726;5;6;0.9707253433941512;0.816496580927726;1.0;3
2;2019;0;0.408248290463863;0;0;0.9449111825230679;0.408248290463863;1.0;3
2;2020;0;0.408248290463863;0;1;0.9449111825230679;0.408248290463863;1.0;3
2;2021;1;0.408248290463863;0;1;0.9449111825230679;0.408248290463863;1.0;3
2;2022;1;0.408248290463863;1;2;0.9449111825230679;0.408248290463863;1.0;3
3;2019;1;1.632993161855452;0;2;-0.5000000000000001;0.816496580927726;2.0;3
3;2020;2;1.632993161855452;0;3;-0.5000000000000001;0.816496580927726;2.0;3
3;2021;3;1.632993161855452;1;4;-0.5000000000000001;0.816496580927726;2.0;3
3;2022;4;1.632993161855452;2;5;-0.5000000000000001;0.816496580927726;2.0;3
4;2019;116;31.843366656181317;84;147;-0.5052699780709146;15.921683328090658;2.0;3
4;2020;78;31.843366656181317;46;110;-0.5052699780709146;15.921683328090658;2.0;3
4;2021;40;31.843366656181317;9;72;-0.5052699780709146;15.921683328090658;2.0;3
4;2022;3;31.843366656181317;0;35;-0.5052699780709146;15.921683328090658;2.0;3
5;2019;3;2.041241452319315;1;5;;0.816496580927726;2.5;3
5;2020;2;2.041241452319315;0;4;;0.816496580927726;2.5;3
5;2021;1;2.041241452319315;0;3;;0.816496580927726;2.5;3
5;2022;0;2.041241452319315;0;2;;0.816496580927726;2.5;3
6;2019;8;11.022703842524301;0;19;0.8660254037844386;7.3484692283495345;1.5;3
6;2020;7;11.022703842524301;0;18;0.8660254037844386;7.3484692283495345;1.5;3
6;2021;6;11.022703842524301;0;17;0.8660254037844386;7.3484692283495345;1.5;3
6;2022;5;11.022703842524301;0;16;0.8660254037844386;7.3484692283495345;1.5;3
7;2019;3;0.408248290463863;3;4;0.9041944301794651;0.408248290463863;1.0;3
