"Município";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
" MUNICIPIO IGNORADO - RS";-;-;-;-;-;-;-;-;-;-;-;1;1
"430003 ACEGUA";3;-;6;3;5;4;5;7;3;4;-;5;45
"430005 AGUA SANTA";1;1;-;1;-;-;1;-;-;-;-;-;4
"430010 AGUDO";16;14;13;13;17;17;10;12;11;17;7;12;159
"430020 AJURICABA";2;5;11;6;2;3;1;6;3;3;6;4;52
"430030 ALECRIM";10;4;12;4;3;9;7;5;7;9;4;6;80
"430040 ALEGRETE";76;60;160;103;105;98;94;60;66;50;47;63;982
"430045 ALEGRIA";4;1;1;-;1;1;-;3;1;2;1;1;16
"430047 ALMIRANTE TAMANDARE DO SUL";1;-;1;-;-;-;-;1;2;-;1;1;7
"430050 ALPESTRE";2;7;7;2;3;9;2;4;2;5;9;8;60
"430057 ALTO FELIZ";1;-;-;-;2;1;2;-;2;-;-;-;8
"430060 ALVORADA";85;84;256;98;95;123;119;94;76;69;79;61;1239
"430063 AMARAL FERRADOR";1;1;3;3;4;3;5;4;1;6;3;4;38
"430064 AMETISTA DO SUL";1;3;10;1;4;4;3;4;3;5;7;4;49
"430066 ANDRE DA ROCHA";-;-;-;2;-;-;-;-;-;-;-;-;2
"430070 ANTA GORDA";1;1;4;4;5;2;10;6;4;1;2;3;43
"430080 ANTONIO PRADO";14;3;11;6;12;15;9;15;9;13;13;7;127
"430085 ARAMBARE";2;2;4;-;2;3;1;3;1;2;1;-;21
"430087 ARARICA";2;1;2;1;-;-;1;-;1;2;-;-;10
"430090 ARATIBA";5;7;4;5;2;3;7;5;3;1;5;4;51
"430100 ARROIO DO MEIO";10;15;14;17;15;11;8;19;8;18;5;14;154
"430105 ARROIO DO SAL";4;5;5;7;6;5;3;1;6;1;5;8;56
"430107 ARROIO DO PADRE";1;1;-;-;2;2;-;1;1;1;-;1;10
"430110 ARROIO DOS RATOS";4;3;2;3;3;3;7;2;-;1;2;1;31
"430120 ARROIO DO TIGRE";11;8;12;10;16;9;12;10;8;14;14;14;138
"430130 ARROIO GRANDE";8;9;13;11;16;10;14;15;13;10;13;9;141
"430140 ARVOREZINHA";8;5;9;7;7;9;11;3;5;3;5;8;80
"430150 AUGUSTO PESTANA";4;4;4;1;3;7;3;7;4;8;4;7;56
"430155 AUREA";2;-;1;4;5;1;4;2;-;5;2;1;27
"430160 BAGE";128;91;176;172;174;172;152;110;104;125;109;100;1613
"430163 BALNEARIO PINHAL";5;7;11;7;11;6;6;6;10;12;4;12;97
"430165 BARAO";3;1;2;2;4;1;2;3;2;1;2;2;25
"430170 BARAO DE COTEGIPE";1;4;2;4;3;5;7;3;3;3;4;4;43
"430175 BARAO DO TRIUNFO";2;1;3;-;-;3;3;2;2;-;3;3;22
"430180 BARRACAO";1;-;1;2;2;1;1;3;2;-;-;1;14
"430185 BARRA DO GUARITA";-;-;1;-;-;-;-;1;-;2;1;1;6
"430190 BARRA DO RIBEIRO";5;10;9;6;5;7;9;11;7;6;6;2;83
"430192 BARRA DO RIO AZUL";1;3;-;-;1;-;-;-;1;2;-;-;8
"430195 BARRA FUNDA";-;-;-;-;1;2;-;-;-;-;-;1;4
"430200 BARROS CASSAL";1;2;5;3;1;4;4;3;1;1;4;3;32
"430205 BENJAMIN CONSTANT DO SUL";-;1;1;-;-;1;-;-;1;-;1;1;6
"430210 BENTO GONCALVES";92;79;117;93;71;109;98;79;65;84;89;60;1036
"430215 BOA VISTA DAS MISSOES";-;-;-;1;-;3;-;2;-;-;-;1;7
"430220 BOA VISTA DO BURICA";2;5;4;6;11;3;6;9;4;2;2;5;59
"430222 BOA VISTA DO CADEADO";-;-;-;-;-;-;1;-;-;-;-;-;1
