"Município";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"430003 ACEGUA";3;3;3;2;3;1;4;1;1;2;3;2;28
"430005 AGUA SANTA";-;-;-;-;-;-;1;-;1;1;-;3;6
"430010 AGUDO";21;15;8;13;19;23;20;10;13;10;11;9;172
"430020 AJURICABA";2;2;6;4;6;8;6;6;4;2;4;2;52
"430030 ALECRIM";20;4;6;8;15;10;4;7;6;9;3;5;97
"430040 ALEGRETE";98;67;60;54;66;86;84;69;58;63;53;49;807
"430045 ALEGRIA";1;1;1;1;2;-;-;1;1;-;-;1;9
"430047 ALMIRANTE TAMANDARE DO SUL";-;-;-;-;2;-;-;1;-;-;-;1;4
"430050 ALPESTRE";5;5;5;4;3;6;6;3;3;2;6;3;51
"430057 ALTO FELIZ";-;-;1;-;-;-;-;-;-;1;2;2;6
"430060 ALVORADA";106;73;78;67;75;119;68;102;76;69;64;81;978
"430063 AMARAL FERRADOR";4;1;5;3;2;-;4;1;1;4;3;-;28
"430064 AMETISTA DO SUL";5;2;7;2;3;7;4;3;3;4;2;3;45
"430066 ANDRE DA ROCHA";2;2;-;-;1;-;-;-;-;-;-;1;6
"430070 ANTA GORDA";3;1;3;2;6;3;2;5;3;1;2;2;33
"430080 ANTONIO PRADO";7;11;10;8;12;15;11;12;6;8;8;9;117
"430085 ARAMBARE";2;3;2;3;1;3;2;2;2;2;1;1;24
"430087 ARARICA";-;1;1;2;2;1;1;-;2;2;2;3;17
"430090 ARATIBA";6;3;3;1;3;6;6;4;6;3;5;3;49
"430100 ARROIO DO MEIO";13;12;17;14;18;16;24;11;15;15;5;9;169
"430105 ARROIO DO SAL";12;6;2;2;4;7;3;4;6;3;2;13;64
"430107 ARROIO DO PADRE";1;1;1;-;-;-;1;1;1;1;1;-;8
"430110 ARROIO DOS RATOS";9;3;3;5;4;7;5;4;9;3;3;5;60
"430120 ARROIO DO TIGRE";17;11;10;11;15;18;18;15;8;11;11;5;150
"430130 ARROIO GRANDE";11;8;8;9;11;16;21;14;7;8;10;5;128
"430140 ARVOREZINHA";10;7;10;12;9;10;5;8;9;9;3;8;100
"430150 AUGUSTO PESTANA";6;1;3;5;3;2;7;1;2;5;3;3;41
"430155 AUREA";8;-;1;-;1;-;2;1;-;1;-;2;16
"430160 BAGE";143;115;94;101;112;115;132;133;115;114;100;114;1388
"430163 BALNEARIO PINHAL";15;3;6;11;5;7;10;11;11;7;6;13;105
"430165 BARAO";4;1;2;2;1;3;-;-;1;3;3;5;25
"430170 BARAO DE COTEGIPE";5;5;2;2;1;3;4;2;5;5;4;5;43
"430175 BARAO DO TRIUNFO";1;-;5;4;3;3;3;3;5;2;3;1;33
"430180 BARRACAO";3;4;2;-;2;1;1;2;1;1;4;2;23
"430185 BARRA DO GUARITA";3;-;-;2;-;-;-;2;-;1;-;-;8
"430187 BARRA DO QUARAI";-;-;-;-;-;-;1;-;-;-;-;-;1
