uf;municipio;ano;mes;vitimas
RS;ALVORADA;2024;10;2.0
RS;ALVORADA;2024;11;5.0
RS;ALVORADA;2024;12;9.0
RS;AMARAL FERRADOR;2024;1;0.0
RS;AMARAL FERRADOR;2024;2;0.0
RS;AMARAL FERRADOR;2024;3;0.0
RS;AMARAL FERRADOR;2024;4;1.0
RS;AMARAL FERRADOR;2024;5;0.0
RS;AMARAL FERRADOR;2024;6;0.0
RS;AMARAL FERRADOR;2024;7;0.0
RS;AMARAL FERRADOR;2024;8;0.0
RS;AMARAL FERRADOR;2024;9;0.0
RS;AMARAL FERRADOR;2024;10;0.0
RS;AMARAL FERRADOR;2024;11;0.0
RS;AMARAL FERRADOR;2024;12;0.0
RS;AMETISTA DO SUL;2024;1;0.0
RS;AMETISTA DO SUL;2024;2;0.0
RS;AMETISTA DO SUL;2024;3;0.0
RS;AMETISTA DO SUL;2024;4;0.0
RS;AMETISTA DO SUL;2024;5;0.0
RS;AMETISTA DO SUL;2024;6;1.0
RS;AMETISTA DO SUL;2024;7;0.0
RS;AMETISTA DO SUL;2024;8;0.0
RS;AMETISTA DO SUL;2024;9;0.0
RS;AMETISTA DO SUL;2024;10;0.0
RS;AMETISTA DO SUL;2024;11;0.0
RS;AMETISTA DO SUL;2024;12;0.0
RS;ANDRÉ DA ROCHA;2024;1;0.0
RS;ANDRÉ DA ROCHA;2024;2;0.0
RS;ANDRÉ DA ROCHA;2024;3;0.0
RS;ANDRÉ DA ROCHA;2024;4;0.0
RS;ANDRÉ DA ROCHA;2024;5;0.0
RS;ANDRÉ DA ROCHA;2024;6;0.0
RS;ANDRÉ DA ROCHA;2024;7;0.0
RS;ANDRÉ DA ROCHA;2024;8;0.0
RS;ANDRÉ DA ROCHA;2024;9;0.0
RS;ANDRÉ DA ROCHA;2024;10;0.0
RS;ANDRÉ DA ROCHA;2024;11;0.0
RS;ANDRÉ DA ROCHA;2024;12;0.0
RS;ANTA GORDA;2024;1;0.0
RS;ANTA GORDA;2024;2;0.0
RS;ANTA GORDA;2024;3;0.0
RS;ANTA GORDA;2024;4;0.0
RS;ANTA GORDA;2024;5;0.0
RS;ANTA GORDA;2024;6;0.0
RS;ANTA GORDA;2024;7;0.0
RS;ANTA GORDA;2024;8;0.0
RS;ANTA GORDA;2024;9;0.0
RS;ANTA GORDA;2024;10;0.0
RS;ANTA GORDA;2024;11;0.0
RS;ANTA GORDA;2024;12;0.0
RS;ANTÔNIO PRADO;2024;1;0.0
RS;ANTÔNIO PRADO;2024;2;0.0
RS;ANTÔNIO PRADO;2024;3;0.0
RS;ANTÔNIO PRADO;2024;4;0.0
RS;ANTÔNIO PRADO;2024;5;0.0
RS;ANTÔNIO PRADO;2024;6;0.0
RS;ANTÔNIO PRADO;2024;7;0.0
RS;ANTÔNIO PRADO;2024;8;0.0
RS;ANTÔNIO PRADO;2024;9;0.0
RS;ANTÔNIO PRADO;2024;10;0.0
RS;ANTÔNIO PRADO;2024;11;2.0
RS;ANTÔNIO PRADO;2024;12;0.0
RS;ARAMBARÉ;2024;1;0.0
RS;ARAMBARÉ;2024;2;0.0
RS;ARAMBARÉ;2024;3;0.0
RS;ARAMBARÉ;2024;4;0.0
RS;ARAMBARÉ;2024;5;0.0
RS;ARAMBARÉ;2024;6;0.0
RS;ARAMBARÉ;2024;7;0.0
RS;ARAMBARÉ;2024;8;0.0
RS;ARAMBARÉ;2024;9;0.0
RS;ARAMBARÉ;2024;10;0.0
RS;ARAMBARÉ;2024;11;0.0
RS;ARAMBARÉ;2024;12;0.0
RS;ARARICÁ;2024;1;0.0
RS;ARARICÁ;2024;2;0.0
RS;ARARICÁ;2024;3;0.0
RS;ARARICÁ;2024;4;0.0
RS;ARARICÁ;2024;5;0.0
RS;ARARICÁ;2024;6;0.0
RS;ARARICÁ;2024;7;0.0
RS;ARARICÁ;2024;8;0.0
RS;ARARICÁ;2024;9;0.0
RS;ARARICÁ;2024;10;0.0
RS;ARARICÁ;2024;11;0.0
RS;ARARICÁ;2024;12;0.0
RS;ARATIBA;2024;1;0.0
RS;ARATIBA;2024;2;0.0
RS;ARATIBA;2024;3;0.0
RS;ARATIBA;2024;4;0.0
RS;ARATIBA;2024;5;0.0
RS;ARATIBA;2024;6;0.0
RS;ARATIBA;2024;7;0.0
RS;ARATIBA;2024;8;7.0
RS;ARATIBA;2024;9;0.0
RS;ARATIBA;2024;10;0.0
RS;ARATIBA;2024;11;0.0
RS;ARATIBA;2024;12;0.0
RS;ARROIO DO MEIO;2024;1;1.0
RS;ARROIO DO MEIO;2024;2;0.0
RS;ARROIO DO MEIO;2024;3;0.0
RS;ARROIO DO MEIO;2024;4;1.0
RS;ARROIO DO MEIO;2024;5;1.0
RS;ARROIO DO MEIO;2024;6;0.0
RS;ARROIO DO MEIO;2024;7;0.0
RS;ARROIO DO MEIO;2024;8;1.0
RS;ARROIO DO MEIO;2024;9;0.0
RS;ARROIO DO MEIO;2024;10;0.0
RS;ARROIO DO MEIO;2024;11;0.0
RS;ARROIO DO MEIO;2024;12;0.0
RS;ARROIO DO PADRE;2024;1;0.0
RS;ARROIO DO PADRE;2024;2;0.0
RS;ARROIO DO PADRE;2024;3;0.0
RS;ARROIO DO PADRE;2024;4;0.0
RS;ARROIO DO PADRE;2024;5;0.0
RS;ARROIO DO PADRE;2024;6;0.0
RS;ARROIO DO PADRE;2024;7;0.0
RS;ARROIO DO PADRE;2024;8;0.0
RS;ARROIO DO PADRE;2024;9;0.0
RS;ARROIO DO PADRE;2024;10;0.0
RS;ARROIO DO PADRE;2024;11;0.0
RS;ARROIO DO PADRE;2024;12;0.0
RS;ARROIO DO SAL;2024;1;0.0
RS;ARROIO DO SAL;2024;2;1.0
RS;ARROIO DO SAL;2024;3;0.0
RS;ARROIO DO SAL;2024;4;0.0
RS;ARROIO DO SAL;2024;5;0.0
RS;ARROIO DO SAL;2024;6;0.0
RS;ARROIO DO SAL;2024;7;0.0
RS;ARROIO DO SAL;2024;8;0.0
RS;ARROIO DO SAL;2024;9;0.0
RS;ARROIO DO SAL;2024;10;0.0
RS;ARROIO DO SAL;2024;11;0.0
RS;ARROIO DO SAL;2024;12;0.0
RS;ARROIO DO TIGRE;2024;1;0.0
RS;ARROIO DO TIGRE;2024;2;0.0
RS;ARROIO DO TIGRE;2024;3;0.0
RS;ARROIO DO TIGRE;2024;4;0.0
RS;ARROIO DO TIGRE;2024;5;0.0
RS;ARROIO DO TIGRE;2024;6;0.0
RS;ARROIO DO TIGRE;2024;7;1.0
RS;ARROIO DO TIGRE;2024;8;0.0
