municipio_id;ano_previsao;previsao_homicidios;margem_erro_k;previsao_min;previsao_max;correlacao_temporal_r;erro_padrao_se;fator_penalidade_fr;n_anos_dados
1;2022;2;5.819711987637161;0;8;0.4288030888200061;2.3278847950548647;2.5;6
1;2023;2;5.819711987637161;0;8;0.4288030888200061;2.3278847950548647;2.5;6
1;2024;2;5.819711987637161;0;7;0.4288030888200061;2.3278847950548647;2.5;6
1;2025;1;5.819711987637161;0;7;0.4288030888200061;2.3278847950548647;2.5;6
2;2022;0;0.0;0;0;;0.0;2.5;5
2;2023;0;0.0;0;0;;0.0;2.5;5
2;2024;0;0.0;0;0;;0.0;2.5;5
2;2025;0;0.0;0;0;;0.0;2.5;5
3;2022;3;6.743603671345962;0;10;-0.3649795766122574;2.697441468538385;2.5;6
3;2023;4;6.743603671345962;0;10;-0.3649795766122574;2.697441468538385;2.5;6
3;2024;4;6.743603671345962;0;10;-0.3649795766122574;2.697441468538385;2.5;6
3;2025;4;6.743603671345962;0;10;-0.3649795766122574;2.697441468538385;2.5;6
4;2022;0;0.0;0;0;;0.0;2.5;6
4;2023;0;0.0;0;0;;0.0;2.5;6
4;2024;0;0.0;0;0;;0.0;2.5;6
4;2025;0;0.0;0;0;;0.0;2.5;6
5;2022;1;2.3421601750764798;0;3;-0.5345224838248488;1.1710800875382399;2.0;6
5;2023;1;2.3421601750764798;0;3;-0.5345224838248488;1.1710800875382399;2.0;6
5;2024;1;2.3421601750764798;0;3;-0.5345224838248488;1.1710800875382399;2.0;6
5;2025;0;2.3421601750764798;0;3;-0.5345224838248488;1.1710800875382399;2.0;6
6;2022;2;3.4086724129853456;0;6;-0.6334588790451464;1.7043362064926728;2.0;6
6;2023;3;3.4086724129853456;0;6;-0.6334588790451464;1.7043362064926728;2.0;6
6;2024;3;3.4086724129853456;0;7;-0.6334588790451464;1.7043362064926728;2.0;6
6;2025;4;3.4086724129853456;0;7;-0.6334588790451464;1.7043362064926728;2.0;6
7;2022;0;1.0493762319542388;0;1;-0.19999999999999998;0.4197504927816955;2.5;6
7;2023;0;1.0493762319542388;0;1;-0.19999999999999998;0.4197504927816955;2.5;6
7;2024;0;1.0493762319542388;0;1;-0.19999999999999998;0.4197504927816955;2.5;6
7;2025;0;1.0493762319542388;0;1;-0.19999999999999998;0.4197504927816955;2.5;6
8;2022;1;1.3575187449376658;0;2;-0.8215838362577493;0.9050124966251105;1.5;6
8;2023;1;1.3575187449376658;0;2;-0.8215838362577493;0.9050124966251105;1.5;6
8;2024;1;1.3575187449376658;0;2;-0.8215838362577493;0.9050124966251105;1.5;6
8;2025;1;1.3575187449376658;0;2;-0.8215838362577493;0.9050124966251105;1.5;6
9;2022;2;5.968668193156736;0;8;-0.21516574145596765;2.3874672772626946;2.5;5
9;2023;2;5.968668193156736;0;8;-0.21516574145596765;2.3874672772626946;2.5;5
9;2024;3;5.968668193156736;0;9;-0.21516574145596765;2.3874672772626946;2.5;5
9;2025;3;5.968668193156736;0;9;-0.21516574145596765;2.3874672772626946;2.5;5
10;2022;2;4.667516929344167;0;7;0.13488539609929065;1.8670067717376668;2.5;6
10;2023;2;4.667516929344167;0;7;0.13488539609929065;1.8670067717376668;2.5;6
10;2024;2;4.667516929344167;0;7;0.13488539609929065;1.8670067717376668;2.5;6
10;2025;2;4.667516929344167;0;6;0.13488539609929065;1.8670067717376668;2.5;6
11;2022;2;4.215193606805864;0;6;0.4869258405481767;1.6860774427223457;2.5;6
11;2023;2;4.215193606805864;0;6;0.4869258405481767;1.6860774427223457;2.5;6
11;2024;3;4.215193606805864;0;7;0.4869258405481767;1.6860774427223457;2.5;6
11;2025;3;4.215193606805864;0;7;0.4869258405481767;1.6860774427223457;2.5;6
12;2022;1;2.886751345948129;0;4;0.33259505261886957;1.1547005383792517;2.5;6
12;2023;1;2.886751345948129;0;4;0.33259505261886957;1.1547005383792517;2.5;6
12;2024;1;2.886751345948129;0;4;0.33259505261886957;1.1547005383792517;2.5;6
12;2025;1;2.886751345948129;0;4;0.33259505261886957;1.1547005383792517;2.5;6
13;2022;3;5.739897958276669;0;8;-0.3954907459543875;2.2959591833106674;2.5;6
13;2023;2;5.739897958276669;0;8;-0.3954907459543875;2.2959591833106674;2.5;6
13;2024;1;5.739897958276669;0;7;-0.3954907459543875;2.2959591833106674;2.5;6
13;2025;1;5.739897958276669;0;7;-0.3954907459543875;2.2959591833106674;2.5;6
14;2022;1;1.966989481173638;0;3;0.1084652289093281;0.7867957924694552;2.5;6
14;2023;1;1.966989481173638;0;3;0.1084652289093281;0.7867957924694552;2.5;6
14;2024;1;1.966989481173638;0;3;0.1084652289093281;0.7867957924694552;2.5;6
14;2025;1;1.966989481173638;0;3;0.1084652289093281;0.7867957924694552;2.5;6
15;2022;0;0.0;0;0;;0.0;2.5;6
15;2023;0;0.0;0;0;;0.0;2.5;6
15;2024;0;0.0;0;0;;0.0;2.5;6
15;2025;0;0.0;0;0;;0.0;2.5;6
16;2022;0;0.8625819491779771;0;1;;0.34503277967119084;2.5;6
16;2023;0;0.8625819491779771;0;1;;0.34503277967119084;2.5;6
16;2024;1;0.8625819491779771;0;1;;0.34503277967119084;2.5;6
16;2025;1;0.8625819491779771;0;2;;0.34503277967119084;2.5;6
17;2022;62;52.93133467499323;9;115;-0.046046161478138795;21.17253386999729;2.5;6
17;2023;45;52.93133467499323;0;98;-0.046046161478138795;21.17253386999729;2.5;6
17;2024;27;52.93133467499323;0;80;-0.046046161478138795;21.17253386999729;2.5;6
17;2025;9;52.93133467499323;0;62;-0.046046161478138795;21.17253386999729;2.5;6
18;2022;6;12.650287028552432;0;18;-0.2657961681961468;5.060114811420973;2.5;6
18;2023;4;12.650287028552432;0;17;-0.2657961681961468;5.060114811420973;2.5;6
18;2024;3;12.650287028552432;0;16;-0.2657961681961468;5.060114811420973;2.5;6
18;2025;2;12.650287028552432;0;14;-0.2657961681961468;5.060114811420973;2.5;6
19;2022;4;4.564354645876384;0;9;-0.47259167996124773;1.8257418583505538;2.5;6
19;2023;3;4.564354645876384;0;8;-0.47259167996124773;1.8257418583505538;2.5;6
19;2024;2;4.564354645876384;0;7;-0.47259167996124773;1.8257418583505538;2.5;6
19;2025;1;4.564354645876384;0;6;-0.47259167996124773;1.8257418583505538;2.5;6
20;2022;1;1.118033988749879;0;2;0.3535533905932737;0.4472135954999516;2.5;6
20;2023;1;1.118033988749879;0;2;0.3535533905932737;0.4472135954999516;2.5;6
20;2024;1;1.118033988749879;0;2;0.3535533905932737;0.4472135954999516;2.5;6
20;2025;1;1.118033988749879;0;2;0.3535533905932737;0.4472135954999516;2.5;6
21;2022;1;2.2625312415627765;0;3;-0.3872983346207417;0.9050124966251106;2.5;6
21;2023;1;2.2625312415627765;0;3;-0.3872983346207417;0.9050124966251106;2.5;6
21;2024;1;2.2625312415627765;0;3;-0.3872983346207417;0.9050124966251106;2.5;6
21;2025;1;2.2625312415627765;0;3;-0.3872983346207417;0.9050124966251106;2.5;6
22;2022;0;0.8625819491779771;0;1;;0.34503277967119084;2.5;6
22;2023;0;0.8625819491779771;0;1;;0.34503277967119084;2.5;6
22;2024;1;0.8625819491779771;0;1;;0.34503277967119084;2.5;6
22;2025;1;0.8625819491779771;0;2;;0.34503277967119084;2.5;6
23;2022;2;5.855400437691194;0;8;0.433317485437329;2.3421601750764776;2.5;6
23;2023;2;5.855400437691194;0;8;0.433317485437329;2.3421601750764776;2.5;6
23;2024;2;5.855400437691194;0;8;0.433317485437329;2.3421601750764776;2.5;6
23;2025;2;5.855400437691194;0;8;0.433317485437329;2.3421601750764776;2.5;6
24;2022;2;3.779644730092272;0;6;-0.1777046633277277;1.5118578920369088;2.5;6
24;2023;2;3.779644730092272;0;6;-0.1777046633277277;1.5118578920369088;2.5;6
24;2024;2;3.779644730092272;0;6;-0.1777046633277277;1.5118578920369088;2.5;6
24;2025;2;3.779644730092272;0;6;-0.1777046633277277;1.5118578920369088;2.5;6
25;2022;0;1.4433756729740645;0;2;0.06691496051182057;0.5773502691896258;2.5;6
25;2023;0;1.4433756729740645;0;2;0.06691496051182057;0.5773502691896258;2.5;6
25;2024;0;1.4433756729740645;0;2;0.06691496051182057;0.5773502691896258;2.5;6
25;2025;0;1.4433756729740645;0;2;0.06691496051182057;0.5773502691896258;2.5;6
26;2022;0;0.0;0;0;;0.0;2.5;6
26;2023;0;0.0;0;0;;0.0;2.5;6
26;2024;0;0.0;0;0;;0.0;2.5;6
26;2025;0;0.0;0;0;;0.0;2.5;6
27;2022;1;2.098752463908477;0;3;0.32539568672798425;0.8395009855633908;2.5;6
27;2023;0;2.098752463908477;0;3;0.32539568672798425;0.8395009855633908;2.5;6
27;2024;0;2.098752463908477;0;2;0.32539568672798425;0.8395009855633908;2.5;6
27;2025;0;2.098752463908477;0;2;0.32539568672798425;0.8395009855633908;2.5;6
28;2022;3;20.67679283411135;0;24;-0.17028768553331292;8.27071713364454;2.5;6
28;2023;1;20.67679283411135;0;22;-0.17028768553331292;8.27071713364454;2.5;6
28;2024;0;20.67679283411135;0;21;-0.17028768553331292;8.27071713364454;2.5;6
28;2025;0;20.67679283411135;0;19;-0.17028768553331292;8.27071713364454;2.5;6
29;2022;1;3.332380816287698;0;4;0.5698028822981897;1.666190408143849;2.0;6
29;2023;0;3.332380816287698;0;4;0.5698028822981897;1.666190408143849;2.0;6
29;2024;0;3.332380816287698;0;3;0.5698028822981897;1.666190408143849;2.0;6
29;2025;0;3.332380816287698;0;3;0.5698028822981897;1.666190408143849;2.0;6
30;2022;0;0.0;0;0;;0.0;2.5;6
30;2023;0;0.0;0;0;;0.0;2.5;6
30;2024;0;0.0;0;0;;0.0;2.5;6
30;2025;0;0.0;0;0;;0.0;2.5;6
31;2022;0;1.0510765456244895;0;1;-0.6139406135149205;0.5255382728122447;2.0;6
31;2023;1;1.0510765456244895;0;2;-0.6139406135149205;0.5255382728122447;2.0;6
31;2024;1;1.0510765456244895;0;2;-0.6139406135149205;0.5255382728122447;2.0;6
31;2025;1;1.0510765456244895;0;2;-0.6139406135149205;0.5255382728122447;2.0;6
32;2022;0;2.2160131510697556;0;3;-0.1587768372074889;0.8864052604279022;2.5;6
32;2023;0;2.2160131510697556;0;3;-0.1587768372074889;0.8864052604279022;2.5;6
32;2024;0;2.2160131510697556;0;2;-0.1587768372074889;0.8864052604279022;2.5;6
32;2025;0;2.2160131510697556;0;2;-0.1587768372074889;0.8864052604279022;2.5;6
33;2022;43;71.98544826494401;0;115;0.161877834322841;28.794179305977607;2.5;6
33;2023;34;71.98544826494401;0;106;0.161877834322841;28.794179305977607;2.5;6
33;2024;24;71.98544826494401;0;96;0.161877834322841;28.794179305977607;2.5;6
33;2025;15;71.98544826494401;0;87;0.161877834322841;28.794179305977607;2.5;6
34;2022;1;7.228571937267638;0;9;-0.4434220266088698;2.8914287749070553;2.5;5
34;2024;1;7.228571937267638;0;8;-0.4434220266088698;2.8914287749070553;2.5;5
34;2025;0;7.228571937267638;0;7;-0.4434220266088698;2.8914287749070553;2.5;5
35;2022;0;1.1312656207813883;0;1;;0.4525062483125553;2.5;6
35;2023;0;1.1312656207813883;0;1;;0.4525062483125553;2.5;6
35;2024;0;1.1312656207813883;0;1;;0.4525062483125553;2.5;6
35;2025;0;1.1312656207813883;0;1;;0.4525062483125553;2.5;6
36;2022;8;9.898292301008034;0;18;0.4056537266095449;3.9593169204032135;2.5;6
36;2023;10;9.898292301008034;0;19;0.4056537266095449;3.9593169204032135;2.5;6
36;2024;11;9.898292301008034;1;21;0.4056537266095449;3.9593169204032135;2.5;6
36;2025;13;9.898292301008034;3;22;0.4056537266095449;3.9593169204032135;2.5;6
37;2022;0;0.0;0;0;;0.0;2.5;5
37;2023;0;0.0;0;0;;0.0;2.5;5
37;2024;0;0.0;0;0;;0.0;2.5;5
37;2025;0;0.0;0;0;;0.0;2.5;5
38;2022;1;7.2210011177714595;0;8;-0.1840053408220959;2.888400447108584;2.5;6
38;2023;1;7.2210011177714595;0;8;-0.1840053408220959;2.888400447108584;2.5;6
38;2024;0;7.2210011177714595;0;8;-0.1840053408220959;2.888400447108584;2.5;6
38;2025;0;7.2210011177714595;0;7;-0.1840053408220959;2.888400447108584;2.5;6
39;2022;6;7.559289460184511;0;14;0.11162794286977144;3.0237157840738043;2.5;6
39;2023;5;7.559289460184511;0;13;0.11162794286977144;3.0237157840738043;2.5;6
39;2024;5;7.559289460184511;0;12;0.11162794286977144;3.0237157840738043;2.5;6
39;2025;4;7.559289460184511;0;12;0.11162794286977144;3.0237157840738043;2.5;6
40;2022;1;4.811939515908518;0;6;-0.25946325003864634;1.9247758063634073;2.5;6
40;2023;2;4.811939515908518;0;6;-0.25946325003864634;1.9247758063634073;2.5;6
40;2024;2;4.811939515908518;0;7;-0.25946325003864634;1.9247758063634073;2.5;6
40;2025;2;4.811939515908518;0;7;-0.25946325003864634;1.9247758063634073;2.5;6
41;2022;16;14.129503074873258;2;30;-0.31812170008940355;5.651801229949303;2.5;6
41;2023;13;14.129503074873258;0;27;-0.31812170008940355;5.651801229949303;2.5;6
41;2024;10;14.129503074873258;0;24;-0.31812170008940355;5.651801229949303;2.5;6
41;2025;7;14.129503074873258;0;22;-0.31812170008940355;5.651801229949303;2.5;6
42;2022;4;4.525062483125573;0;8;0.29815591911699374;1.810024993250229;2.5;6
42;2023;4;4.525062483125573;0;8;0.29815591911699374;1.810024993250229;2.5;6
42;2024;4;4.525062483125573;0;8;0.29815591911699374;1.810024993250229;2.5;6
