"Município";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"430003 ACEGUA";1;-;2;3;4;-;3;4;4;4;1;2;28
"430010 AGUDO";7;7;8;12;12;8;17;13;14;15;8;13;134
"430020 AJURICABA";5;4;5;-;5;3;3;2;4;3;2;4;40
"430030 ALECRIM";2;8;3;12;6;5;4;3;5;8;4;3;63
"430040 ALEGRETE";57;55;41;42;56;59;79;81;57;63;54;53;697
"430045 ALEGRIA";-;-;4;2;2;-;1;3;1;3;1;3;20
"430047 ALMIRANTE TAMANDARE DO SUL";-;-;-;-;-;-;3;-;-;-;-;-;3
"430050 ALPESTRE";8;5;3;3;9;7;5;4;5;9;4;5;67
"430055 ALTO ALEGRE";-;-;1;-;2;-;-;-;-;-;-;-;3
"430057 ALTO FELIZ";1;-;1;2;1;1;1;1;-;1;-;1;10
"430060 ALVORADA";77;53;60;58;62;75;100;86;71;64;55;66;827
"430063 AMARAL FERRADOR";2;2;1;3;2;1;1;3;2;2;3;2;24
"430064 AMETISTA DO SUL";2;-;2;8;2;4;3;4;4;2;3;6;40
"430066 ANDRE DA ROCHA";-;-;-;-;-;-;1;-;-;-;-;-;1
"430070 ANTA GORDA";2;3;1;2;2;3;2;1;2;6;3;7;34
"430080 ANTONIO PRADO";6;9;5;8;10;8;9;8;9;7;7;8;94
"430085 ARAMBARE";-;-;-;1;1;-;-;-;-;-;1;1;4
"430087 ARARICA";3;4;2;1;1;1;-;2;2;1;-;1;18
"430090 ARATIBA";9;2;2;5;4;4;8;5;7;2;4;3;55
"430100 ARROIO DO MEIO";9;8;16;17;10;7;24;9;16;13;14;7;150
"430105 ARROIO DO SAL";6;1;2;-;3;5;3;4;2;1;6;2;35
"430107 ARROIO DO PADRE";-;-;1;1;3;-;-;3;-;1;1;-;10
"430110 ARROIO DOS RATOS";5;5;3;4;5;2;6;5;6;5;3;4;53
"430120 ARROIO DO TIGRE";8;3;15;4;7;7;9;21;15;12;9;11;121
"430130 ARROIO GRANDE";4;6;6;2;5;8;12;10;6;5;7;6;77
"430140 ARVOREZINHA";3;4;2;12;6;6;9;11;7;4;10;4;78
"430150 AUGUSTO PESTANA";2;1;4;6;5;3;4;2;3;2;3;5;40
"430155 AUREA";2;2;1;3;4;3;-;1;3;2;1;-;22
"430160 BAGE";93;64;80;99;91;101;106;124;107;113;96;109;1183
"430163 BALNEARIO PINHAL";9;3;9;5;10;5;2;7;8;8;7;11;84
"430165 BARAO";2;3;4;3;3;1;1;4;2;4;-;-;27
"430170 BARAO DE COTEGIPE";1;2;3;3;3;1;5;4;1;2;2;-;27
"430175 BARAO DO TRIUNFO";1;-;1;1;1;3;1;-;-;1;-;1;10
"430180 BARRACAO";3;-;3;3;4;1;2;6;-;1;-;4;27
"430185 BARRA DO GUARITA";-;-;-;1;1;-;1;-;1;1;1;-;6
"430187 BARRA DO QUARAI";-;2;1;-;2;-;5;3;-;-;-;1;14
"430190 BARRA DO RIBEIRO";5;2;4;7;3;6;7;3;3;4;6;6;56
"430192 BARRA DO RIO AZUL";-;-;-;-;1;-;-;-;1;-;-;-;2
"430195 BARRA FUNDA";-;1;1;-;1;-;-;-;-;1;1;1;6
"430200 BARROS CASSAL";2;2;2;-;1;1;4;8;5;5;3;8;41
"430205 BENJAMIN CONSTANT DO SUL";1;1;-;3;1;-;1;-;-;1;1;1;10
