municipio;mes;ano;vitimas_homicidio_no_mes_municipio
ARARICA;outubro;2023;0
ARARICA;novembro;2023;0
ARARICA;dezembro;2023;0
ARATIBA;janeiro;2023;0
ARATIBA;fevereiro;2023;0
ARATIBA;marco;2023;0
ARATIBA;abril;2023;0
ARATIBA;maio;2023;0
ARATIBA;junho;2023;0
ARATIBA;julho;2023;0
ARATIBA;agosto;2023;0
ARATIBA;setembro;2023;0
ARATIBA;outubro;2023;0
ARATIBA;novembro;2023;0
ARATIBA;dezembro;2023;0
ARROIO DO MEIO;janeiro;2023;0
ARROIO DO MEIO;fevereiro;2023;0
ARROIO DO MEIO;marco;2023;0
ARROIO DO MEIO;abril;2023;0
ARROIO DO MEIO;maio;2023;1
ARROIO DO MEIO;junho;2023;0
ARROIO DO MEIO;julho;2023;0
ARROIO DO MEIO;agosto;2023;0
ARROIO DO MEIO;setembro;2023;0
ARROIO DO MEIO;outubro;2023;0
ARROIO DO MEIO;novembro;2023;0
ARROIO DO MEIO;dezembro;2023;1
ARROIO DO PADRE;janeiro;2023;0
ARROIO DO PADRE;fevereiro;2023;0
ARROIO DO PADRE;marco;2023;0
ARROIO DO PADRE;abril;2023;0
ARROIO DO PADRE;maio;2023;0
ARROIO DO PADRE;junho;2023;0
ARROIO DO PADRE;julho;2023;0
ARROIO DO PADRE;agosto;2023;0
ARROIO DO PADRE;setembro;2023;0
ARROIO DO PADRE;outubro;2023;0
ARROIO DO PADRE;novembro;2023;0
ARROIO DO PADRE;dezembro;2023;0
ARROIO DO SAL;janeiro;2023;1
ARROIO DO SAL;fevereiro;2023;0
ARROIO DO SAL;marco;2023;0
ARROIO DO SAL;abril;2023;0
ARROIO DO SAL;maio;2023;0
ARROIO DO SAL;junho;2023;0
ARROIO DO SAL;julho;2023;0
ARROIO DO SAL;agosto;2023;0
ARROIO DO SAL;setembro;2023;1
ARROIO DO SAL;outubro;2023;0
ARROIO DO SAL;novembro;2023;0
ARROIO DO SAL;dezembro;2023;1
ARROIO DO TIGRE;janeiro;2023;0
ARROIO DO TIGRE;fevereiro;2023;1
ARROIO DO TIGRE;marco;2023;0
ARROIO DO TIGRE;abril;2023;0
ARROIO DO TIGRE;maio;2023;0
ARROIO DO TIGRE;junho;2023;0
ARROIO DO TIGRE;julho;2023;0
ARROIO DO TIGRE;agosto;2023;1
ARROIO DO TIGRE;setembro;2023;0
ARROIO DO TIGRE;outubro;2023;0
ARROIO DO TIGRE;novembro;2023;0
ARROIO DO TIGRE;dezembro;2023;0
ARROIO DOS RATOS;janeiro;2023;0
ARROIO DOS RATOS;fevereiro;2023;0
ARROIO DOS RATOS;marco;2023;0
ARROIO DOS RATOS;abril;2023;6
ARROIO DOS RATOS;maio;2023;2
ARROIO DOS RATOS;junho;2023;0
ARROIO DOS RATOS;julho;2023;0
ARROIO DOS RATOS;agosto;2023;0
ARROIO DOS RATOS;setembro;2023;0
ARROIO DOS RATOS;outubro;2023;0
ARROIO DOS RATOS;novembro;2023;6
ARROIO DOS RATOS;dezembro;2023;2
ARROIO GRANDE;janeiro;2023;2
ARROIO GRANDE;fevereiro;2023;1
ARROIO GRANDE;marco;2023;0
ARROIO GRANDE;abril;2023;0
ARROIO GRANDE;maio;2023;0
ARROIO GRANDE;junho;2023;0
ARROIO GRANDE;julho;2023;1
ARROIO GRANDE;agosto;2023;0
ARROIO GRANDE;setembro;2023;0
ARROIO GRANDE;outubro;2023;0
ARROIO GRANDE;novembro;2023;0
ARROIO GRANDE;dezembro;2023;0
ARVOREZINHA;janeiro;2023;0
ARVOREZINHA;fevereiro;2023;2
ARVOREZINHA;marco;2023;0
ARVOREZINHA;abril;2023;0
ARVOREZINHA;maio;2023;0
ARVOREZINHA;junho;2023;1
ARVOREZINHA;julho;2023;2
ARVOREZINHA;agosto;2023;1
ARVOREZINHA;setembro;2023;0
ARVOREZINHA;outubro;2023;0
ARVOREZINHA;novembro;2023;0
ARVOREZINHA;dezembro;2023;1
AUGUSTO PESTANA;janeiro;2023;0
AUGUSTO PESTANA;fevereiro;2023;0
AUGUSTO PESTANA;marco;2023;0
AUGUSTO PESTANA;abril;2023;0
AUGUSTO PESTANA;maio;2023;0
AUGUSTO PESTANA;junho;2023;0
AUGUSTO PESTANA;julho;2023;0
AUGUSTO PESTANA;agosto;2023;0
AUGUSTO PESTANA;setembro;2023;0
AUGUSTO PESTANA;outubro;2023;0
AUGUSTO PESTANA;novembro;2023;0
AUGUSTO PESTANA;dezembro;2023;0
BAGE;janeiro;2023;1
BAGE;fevereiro;2023;0
BAGE;marco;2023;1
BAGE;abril;2023;2
BAGE;maio;2023;2
BAGE;junho;2023;2
BAGE;julho;2023;0
BAGE;agosto;2023;0
BAGE;setembro;2023;1
BAGE;outubro;2023;2
BAGE;novembro;2023;3
BAGE;dezembro;2023;6
BALNEARIO PINHAL;janeiro;2023;0
BALNEARIO PINHAL;fevereiro;2023;0
BALNEARIO PINHAL;marco;2023;2
BALNEARIO PINHAL;abril;2023;0
BALNEARIO PINHAL;maio;2023;0
BALNEARIO PINHAL;junho;2023;0
BALNEARIO PINHAL;julho;2023;0
BALNEARIO PINHAL;agosto;2023;0
BALNEARIO PINHAL;setembro;2023;0
BALNEARIO PINHAL;outubro;2023;0
BALNEARIO PINHAL;novembro;2023;0
BALNEARIO PINHAL;dezembro;2023;1
BARRA DO GUARITA;janeiro;2023;0
BARRA DO GUARITA;fevereiro;2023;0
BARRA DO GUARITA;marco;2023;0
BARRA DO GUARITA;abril;2023;0
BARRA DO GUARITA;maio;2023;0
BARRA DO GUARITA;junho;2023;0
BARRA DO GUARITA;julho;2023;1
BARRA DO GUARITA;agosto;2023;0
BARRA DO GUARITA;setembro;2023;0
BARRA DO GUARITA;outubro;2023;1
BARRA DO GUARITA;novembro;2023;0
BARRA DO GUARITA;dezembro;2023;0
BARRA DO QUARAI;janeiro;2023;3
BARRA DO QUARAI;fevereiro;2023;0
BARRA DO QUARAI;marco;2023;0
BARRA DO QUARAI;abril;2023;0
BARRA DO QUARAI;maio;2023;0
BARRA DO QUARAI;junho;2023;0
BARRA DO QUARAI;julho;2023;0
BARRA DO QUARAI;agosto;2023;0
BARRA DO QUARAI;setembro;2023;0
BARRA DO QUARAI;outubro;2023;0
BARRA DO QUARAI;novembro;2023;0
BARRA DO QUARAI;dezembro;2023;0
BARRA DO RIBEIRO;janeiro;2023;0
BARRA DO RIBEIRO;fevereiro;2023;0
BARRA DO RIBEIRO;marco;2023;0
BARRA DO RIBEIRO;abril;2023;0
BARRA DO RIBEIRO;maio;2023;0
BARRA DO RIBEIRO;junho;2023;0
BARRA DO RIBEIRO;julho;2023;0
BARRA DO RIBEIRO;agosto;2023;0
BARRA DO RIBEIRO;setembro;2023;0
BARRA DO RIBEIRO;outubro;2023;0
BARRA DO RIBEIRO;novembro;2023;0
BARRA DO RIBEIRO;dezembro;2023;3
BARRA DO RIO AZUL;janeiro;2023;0
BARRA DO RIO AZUL;fevereiro;2023;0
BARRA DO RIO AZUL;marco;2023;0
BARRA DO RIO AZUL;abril;2023;0
BARRA DO RIO AZUL;maio;2023;0
BARRA DO RIO AZUL;junho;2023;0
BARRA DO RIO AZUL;julho;2023;0
BARRA DO RIO AZUL;agosto;2023;0
BARRA DO RIO AZUL;setembro;2023;0
BARRA DO RIO AZUL;outubro;2023;0
BARRA DO RIO AZUL;novembro;2023;0
BARRA DO RIO AZUL;dezembro;2023;0
BARRA FUNDA;janeiro;2023;0
BARRA FUNDA;fevereiro;2023;0
BARRA FUNDA;marco;2023;0
BARRA FUNDA;abril;2023;0
BARRA FUNDA;maio;2023;0
BARRA FUNDA;junho;2023;0
BARRA FUNDA;julho;2023;0
BARRA FUNDA;agosto;2023;0
BARRA FUNDA;setembro;2023;0
BARRA FUNDA;outubro;2023;0
BARRA FUNDA;novembro;2023;0
BARRA FUNDA;dezembro;2023;0
BARRACAO;janeiro;2023;0
BARRACAO;fevereiro;2023;0
BARRACAO;marco;2023;0
BARRACAO;abril;2023;0
BARRACAO;maio;2023;0
BARRACAO;junho;2023;0
BARRACAO;julho;2023;0
BARRACAO;agosto;2023;0
BARRACAO;setembro;2023;0
BARRACAO;outubro;2023;1
BARRACAO;novembro;2023;0
BARRACAO;dezembro;2023;0
BARROS CASSAL;janeiro;2023;0
BARROS CASSAL;fevereiro;2023;0
BARROS CASSAL;marco;2023;0
BARROS CASSAL;abril;2023;0
BARROS CASSAL;maio;2023;0
BARROS CASSAL;junho;2023;0
BARROS CASSAL;julho;2023;0
BARROS CASSAL;agosto;2023;1
BARROS CASSAL;setembro;2023;0
BARROS CASSAL;outubro;2023;3
BARROS CASSAL;novembro;2023;0
BARROS CASSAL;dezembro;2023;0
BARAO;janeiro;2023;0
BARAO;fevereiro;2023;0
BARAO;marco;2023;0
BARAO;abril;2023;0
BARAO;maio;2023;0
BARAO;junho;2023;0
BARAO;julho;2023;0
BARAO;agosto;2023;0
BARAO;setembro;2023;0
BARAO;outubro;2023;0
BARAO;novembro;2023;0
BARAO;dezembro;2023;0
BARAO DE COTEGIPE;janeiro;2023;0
BARAO DE COTEGIPE;fevereiro;2023;0
BARAO DE COTEGIPE;marco;2023;0
BARAO DE COTEGIPE;abril;2023;0
BARAO DE COTEGIPE;maio;2023;0
BARAO DE COTEGIPE;junho;2023;0
BARAO DE COTEGIPE;julho;2023;0
BARAO DE COTEGIPE;agosto;2023;0
BARAO DE COTEGIPE;setembro;2023;1
BARAO DE COTEGIPE;outubro;2023;0
BARAO DE COTEGIPE;novembro;2023;0
BARAO DE COTEGIPE;dezembro;2023;0
BARAO DO TRIUNFO;janeiro;2023;0
BARAO DO TRIUNFO;fevereiro;2023;0
BARAO DO TRIUNFO;marco;2023;1
BARAO DO TRIUNFO;abril;2023;0
BARAO DO TRIUNFO;maio;2023;0
BARAO DO TRIUNFO;junho;2023;0
BARAO DO TRIUNFO;julho;2023;0
BARAO DO TRIUNFO;agosto;2023;0
BARAO DO TRIUNFO;setembro;2023;0
BARAO DO TRIUNFO;outubro;2023;0
BARAO DO TRIUNFO;novembro;2023;0
BARAO DO TRIUNFO;dezembro;2023;0
BENJAMIN CONSTANT DO SUL;janeiro;2023;0
BENJAMIN CONSTANT DO SUL;fevereiro;2023;0
BENJAMIN CONSTANT DO SUL;marco;2023;0
BENJAMIN CONSTANT DO SUL;abril;2023;0
BENJAMIN CONSTANT DO SUL;maio;2023;0
BENJAMIN CONSTANT DO SUL;junho;2023;0
BENJAMIN CONSTANT DO SUL;julho;2023;0
BENJAMIN CONSTANT DO SUL;agosto;2023;0
BENJAMIN CONSTANT DO SUL;setembro;2023;0
BENJAMIN CONSTANT DO SUL;outubro;2023;0
BENJAMIN CONSTANT DO SUL;novembro;2023;0
BENJAMIN CONSTANT DO SUL;dezembro;2023;0
BENTO GONCALVES;janeiro;2023;3
BENTO GONCALVES;fevereiro;2023;1
BENTO GONCALVES;marco;2023;3
BENTO GONCALVES;abril;2023;1
BENTO GONCALVES;maio;2023;0
BENTO GONCALVES;junho;2023;1
BENTO GONCALVES;julho;2023;0
BENTO GONCALVES;agosto;2023;0
BENTO GONCALVES;setembro;2023;1
BENTO GONCALVES;outubro;2023;2
BENTO GONCALVES;novembro;2023;4
BENTO GONCALVES;dezembro;2023;3
BOA VISTA DAS MISSOES;janeiro;2023;0
BOA VISTA DAS MISSOES;fevereiro;2023;0
BOA VISTA DAS MISSOES;marco;2023;0
BOA VISTA DAS MISSOES;abril;2023;0
BOA VISTA DAS MISSOES;maio;2023;0
BOA VISTA DAS MISSOES;junho;2023;0
BOA VISTA DAS MISSOES;julho;2023;0
BOA VISTA DAS MISSOES;agosto;2023;0
BOA VISTA DAS MISSOES;setembro;2023;0
BOA VISTA DAS MISSOES;outubro;2023;0
BOA VISTA DAS MISSOES;novembro;2023;0
BOA VISTA DAS MISSOES;dezembro;2023;0
BOA VISTA DO BURICA;janeiro;2023;0
BOA VISTA DO BURICA;fevereiro;2023;0
BOA VISTA DO BURICA;marco;2023;0
BOA VISTA DO BURICA;abril;2023;0
BOA VISTA DO BURICA;maio;2023;0
BOA VISTA DO BURICA;junho;2023;0
BOA VISTA DO BURICA;julho;2023;0
BOA VISTA DO BURICA;agosto;2023;0
BOA VISTA DO BURICA;setembro;2023;0
BOA VISTA DO BURICA;outubro;2023;0
BOA VISTA DO BURICA;novembro;2023;0
BOA VISTA DO BURICA;dezembro;2023;0
BOA VISTA DO CADEADO;janeiro;2023;0
BOA VISTA DO CADEADO;fevereiro;2023;0
BOA VISTA DO CADEADO;marco;2023;0
BOA VISTA DO CADEADO;abril;2023;0
BOA VISTA DO CADEADO;maio;2023;0
BOA VISTA DO CADEADO;junho;2023;0
BOA VISTA DO CADEADO;julho;2023;0
BOA VISTA DO CADEADO;agosto;2023;0
BOA VISTA DO CADEADO;setembro;2023;0
BOA VISTA DO CADEADO;outubro;2023;0
BOA VISTA DO CADEADO;novembro;2023;0
BOA VISTA DO CADEADO;dezembro;2023;0
BOA VISTA DO INCRA;janeiro;2023;0
BOA VISTA DO INCRA;fevereiro;2023;0
BOA VISTA DO INCRA;marco;2023;0
BOA VISTA DO INCRA;abril;2023;0
BOA VISTA DO INCRA;maio;2023;0
BOA VISTA DO INCRA;junho;2023;0
BOA VISTA DO INCRA;julho;2023;0
BOA VISTA DO INCRA;agosto;2023;0
BOA VISTA DO INCRA;setembro;2023;0
BOA VISTA DO INCRA;outubro;2023;0
BOA VISTA DO INCRA;novembro;2023;0
BOA VISTA DO INCRA;dezembro;2023;0
BOA VISTA DO SUL;janeiro;2023;0
BOA VISTA DO SUL;fevereiro;2023;0
BOA VISTA DO SUL;marco;2023;0
BOA VISTA DO SUL;abril;2023;0
BOA VISTA DO SUL;maio;2023;0
BOA VISTA DO SUL;junho;2023;0
BOA VISTA DO SUL;julho;2023;0
BOA VISTA DO SUL;agosto;2023;0
BOA VISTA DO SUL;setembro;2023;0
BOA VISTA DO SUL;outubro;2023;0
BOA VISTA DO SUL;novembro;2023;0
BOA VISTA DO SUL;dezembro;2023;0
BOM JESUS;janeiro;2023;0
BOM JESUS;fevereiro;2023;0
BOM JESUS;marco;2023;1
BOM JESUS;abril;2023;1
BOM JESUS;maio;2023;0
BOM JESUS;junho;2023;0
BOM JESUS;julho;2023;0
BOM JESUS;agosto;2023;0
BOM JESUS;setembro;2023;5
BOM JESUS;outubro;2023;1
BOM JESUS;novembro;2023;0
BOM JESUS;dezembro;2023;0
BOM PRINCIPIO;janeiro;2023;0
BOM PRINCIPIO;fevereiro;2023;0
BOM PRINCIPIO;marco;2023;0
BOM PRINCIPIO;abril;2023;0
BOM PRINCIPIO;maio;2023;0
BOM PRINCIPIO;junho;2023;0
BOM PRINCIPIO;julho;2023;0
BOM PRINCIPIO;agosto;2023;0
BOM PRINCIPIO;setembro;2023;0
BOM PRINCIPIO;outubro;2023;0
BOM PRINCIPIO;novembro;2023;1
BOM PRINCIPIO;dezembro;2023;0
BOM PROGRESSO;janeiro;2023;0
BOM PROGRESSO;fevereiro;2023;0
BOM PROGRESSO;marco;2023;0
BOM PROGRESSO;abril;2023;0
BOM PROGRESSO;maio;2023;0
BOM PROGRESSO;junho;2023;0
BOM PROGRESSO;julho;2023;0
BOM PROGRESSO;agosto;2023;0
BOM PROGRESSO;setembro;2023;0
BOM PROGRESSO;outubro;2023;0
BOM PROGRESSO;novembro;2023;0
BOM PROGRESSO;dezembro;2023;0
BOM RETIRO DO SUL;janeiro;2023;0
BOM RETIRO DO SUL;fevereiro;2023;0
BOM RETIRO DO SUL;marco;2023;0
BOM RETIRO DO SUL;abril;2023;0
BOM RETIRO DO SUL;maio;2023;0
BOM RETIRO DO SUL;junho;2023;0
BOM RETIRO DO SUL;julho;2023;0
BOM RETIRO DO SUL;agosto;2023;0
BOM RETIRO DO SUL;setembro;2023;1
BOM RETIRO DO SUL;outubro;2023;0
BOM RETIRO DO SUL;novembro;2023;0
BOM RETIRO DO SUL;dezembro;2023;0
BOQUEIRAO DO LEAO;janeiro;2023;0
BOQUEIRAO DO LEAO;fevereiro;2023;0
BOQUEIRAO DO LEAO;marco;2023;0
BOQUEIRAO DO LEAO;abril;2023;0
BOQUEIRAO DO LEAO;maio;2023;0
BOQUEIRAO DO LEAO;junho;2023;0
BOQUEIRAO DO LEAO;julho;2023;0
BOQUEIRAO DO LEAO;agosto;2023;2
BOQUEIRAO DO LEAO;setembro;2023;0
BOQUEIRAO DO LEAO;outubro;2023;0
BOQUEIRAO DO LEAO;novembro;2023;0
BOQUEIRAO DO LEAO;dezembro;2023;0
BOSSOROCA;janeiro;2023;0
BOSSOROCA;fevereiro;2023;0
BOSSOROCA;marco;2023;0
BOSSOROCA;abril;2023;0
BOSSOROCA;maio;2023;0
BOSSOROCA;junho;2023;0
BOSSOROCA;julho;2023;0
BOSSOROCA;agosto;2023;0
BOSSOROCA;setembro;2023;0
BOSSOROCA;outubro;2023;0
BOSSOROCA;novembro;2023;0
BOSSOROCA;dezembro;2023;0
BOZANO;janeiro;2023;0
BOZANO;fevereiro;2023;0
BOZANO;marco;2023;0
BOZANO;abril;2023;0
BOZANO;maio;2023;0
BOZANO;junho;2023;0
BOZANO;julho;2023;0
BOZANO;agosto;2023;0
BOZANO;setembro;2023;0
BOZANO;outubro;2023;0
BOZANO;novembro;2023;0
BOZANO;dezembro;2023;0
BRAGA;janeiro;2023;0
BRAGA;fevereiro;2023;0
BRAGA;marco;2023;0
BRAGA;abril;2023;0
BRAGA;maio;2023;0
BRAGA;junho;2023;0
BRAGA;julho;2023;0
BRAGA;agosto;2023;0
BRAGA;setembro;2023;0
BRAGA;outubro;2023;0
BRAGA;novembro;2023;0
BRAGA;dezembro;2023;0
BROCHIER;janeiro;2023;0
BROCHIER;fevereiro;2023;0
BROCHIER;marco;2023;0
BROCHIER;abril;2023;0
BROCHIER;maio;2023;0
BROCHIER;junho;2023;0
BROCHIER;julho;2023;0
BROCHIER;agosto;2023;0
BROCHIER;setembro;2023;0
BROCHIER;outubro;2023;0
BROCHIER;novembro;2023;0
BROCHIER;dezembro;2023;0
BUTIA;janeiro;2023;3
BUTIA;fevereiro;2023;1
BUTIA;marco;2023;0
BUTIA;abril;2023;1
BUTIA;maio;2023;0
BUTIA;junho;2023;0
BUTIA;julho;2023;1
BUTIA;agosto;2023;0
BUTIA;setembro;2023;0
BUTIA;outubro;2023;1
BUTIA;novembro;2023;1
BUTIA;dezembro;2023;4
CACEQUI;janeiro;2023;2
CACEQUI;fevereiro;2023;0
CACEQUI;marco;2023;0
CACEQUI;abril;2023;0
CACEQUI;maio;2023;0
CACEQUI;junho;2023;0
CACEQUI;julho;2023;0
CACEQUI;agosto;2023;1
CACEQUI;setembro;2023;0
CACEQUI;outubro;2023;1
CACEQUI;novembro;2023;0
CACEQUI;dezembro;2023;0
CACHOEIRA DO SUL;janeiro;2023;0
CACHOEIRA DO SUL;fevereiro;2023;0
CACHOEIRA DO SUL;marco;2023;0
CACHOEIRA DO SUL;abril;2023;2
CACHOEIRA DO SUL;maio;2023;0
CACHOEIRA DO SUL;junho;2023;1
CACHOEIRA DO SUL;julho;2023;1
CACHOEIRA DO SUL;agosto;2023;1
CACHOEIRA DO SUL;setembro;2023;0
CACHOEIRA DO SUL;outubro;2023;0
CACHOEIRA DO SUL;novembro;2023;1
CACHOEIRA DO SUL;dezembro;2023;0
CACHOEIRINHA;janeiro;2023;0
CACHOEIRINHA;fevereiro;2023;1
CACHOEIRINHA;marco;2023;1
CACHOEIRINHA;abril;2023;2
CACHOEIRINHA;maio;2023;0
CACHOEIRINHA;junho;2023;0
CACHOEIRINHA;julho;2023;1
CACHOEIRINHA;agosto;2023;1
CACHOEIRINHA;setembro;2023;4
CACHOEIRINHA;outubro;2023;2
CACHOEIRINHA;novembro;2023;2
CACHOEIRINHA;dezembro;2023;0
