"Município";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"430003 ACEGUA";6;4;2;2;4;5;3;2;5;2;1;2;38
"430005 AGUA SANTA";1;-;-;-;1;-;-;1;1;-;-;-;4
"430010 AGUDO";16;11;6;10;15;11;17;9;18;12;13;17;155
"430020 AJURICABA";3;3;3;7;5;4;3;6;8;2;5;3;52
"430030 ALECRIM";10;4;12;11;7;7;10;8;6;7;9;8;99
"430040 ALEGRETE";61;49;54;58;65;59;61;62;65;67;58;55;714
"430045 ALEGRIA";1;-;2;-;3;2;2;4;1;1;3;1;20
"430047 ALMIRANTE TAMANDARE DO SUL";-;-;-;1;-;-;-;-;-;-;-;-;1
"430050 ALPESTRE";5;2;6;2;3;11;5;8;3;4;6;8;63
"430055 ALTO ALEGRE";-;-;-;-;-;-;-;1;-;-;-;-;1
"430057 ALTO FELIZ";-;1;1;-;-;-;-;-;-;-;-;-;2
"430060 ALVORADA";70;55;60;63;70;80;76;87;61;75;57;74;828
"430063 AMARAL FERRADOR";1;-;2;2;1;1;3;-;-;3;1;1;15
"430064 AMETISTA DO SUL";6;3;-;5;4;4;6;3;4;3;6;4;48
"430066 ANDRE DA ROCHA";-;-;-;-;1;-;-;-;-;-;-;1;2
"430070 ANTA GORDA";4;4;4;-;2;2;4;4;2;2;4;1;33
"430080 ANTONIO PRADO";9;6;16;7;10;8;12;6;9;13;7;13;116
"430085 ARAMBARE";1;-;1;-;1;-;2;1;-;1;-;1;8
"430087 ARARICA";2;1;1;3;-;1;3;2;3;1;2;1;20
"430090 ARATIBA";8;1;1;6;8;3;4;5;2;2;4;6;50
"430100 ARROIO DO MEIO";10;7;13;11;11;12;6;10;11;8;9;9;117
"430105 ARROIO DO SAL";6;4;3;4;4;3;6;9;2;6;4;10;61
"430107 ARROIO DO PADRE";-;1;-;-;-;1;1;1;1;2;2;3;12
"430110 ARROIO DOS RATOS";2;2;5;4;5;5;1;3;3;8;6;5;49
"430120 ARROIO DO TIGRE";12;5;15;13;12;13;20;12;14;8;6;19;149
"430130 ARROIO GRANDE";16;8;5;9;13;15;10;14;12;9;10;11;132
"430140 ARVOREZINHA";4;5;6;3;5;17;7;10;11;8;8;4;88
"430150 AUGUSTO PESTANA";4;5;4;3;6;6;-;4;5;5;5;3;50
"430155 AUREA";1;2;3;1;6;6;3;2;4;3;-;2;33
"430160 BAGE";86;90;91;96;114;117;112;122;102;106;101;87;1224
"430163 BALNEARIO PINHAL";7;9;7;11;9;8;10;9;1;9;3;11;94
"430165 BARAO";1;3;3;2;2;2;2;3;1;1;4;2;26
"430170 BARAO DE COTEGIPE";5;2;4;2;1;3;1;2;5;3;1;4;33
"430175 BARAO DO TRIUNFO";1;1;1;-;1;1;1;1;1;3;3;3;17
"430180 BARRACAO";3;4;3;-;2;7;4;-;2;2;3;3;33
"430185 BARRA DO GUARITA";-;-;3;-;-;1;-;1;-;3;-;2;10
"430190 BARRA DO RIBEIRO";3;4;3;5;3;10;5;7;5;3;6;5;59
"430192 BARRA DO RIO AZUL";-;1;1;-;-;-;-;-;-;-;-;1;3
"430195 BARRA FUNDA";1;-;1;1;1;-;2;-;-;-;-;-;6
"430200 BARROS CASSAL";1;3;4;2;2;1;4;2;2;3;5;5;34
"430205 BENJAMIN CONSTANT DO SUL";-;-;-;2;1;1;-;1;-;-;-;-;5
"430210 BENTO GONCALVES";63;50;57;76;74;62;82;76;71;71;71;64;817
"430215 BOA VISTA DAS MISSOES";1;-;1;-;1;-;-;-;-;-;-;-;3
"430220 BOA VISTA DO BURICA";7;2;7;10;2;6;10;5;5;11;5;7;77
"430223 BOA VISTA DO INCRA";-;-;-;-;-;1;-;1;-;-;2;1;5
"430225 BOA VISTA DO SUL";2;-;1;-;-;-;-;1;-;-;-;-;4
"430230 BOM JESUS";4;1;6;8;8;3;5;8;8;8;5;4;68
"430235 BOM PRINCIPIO";6;1;3;5;9;8;17;6;6;5;9;4;79
"430237 BOM PROGRESSO";1;-;-;-;-;-;1;-;1;2;-;1;6
"430240 BOM RETIRO DO SUL";9;10;11;4;14;8;13;11;4;7;10;9;110
"430245 BOQUEIRAO DO LEAO";1;3;1;2;10;5;6;2;6;7;4;2;49
"430250 BOSSOROCA";3;3;-;1;1;2;3;2;4;1;1;1;22
"430258 BOZANO";-;-;-;1;-;1;2;-;-;-;1;-;5
"430260 BRAGA";-;1;1;1;1;1;1;-;-;1;2;-;9
"430265 BROCHIER";2;-;-;1;3;2;4;-;2;2;3;-;19
"430270 BUTIA";7;4;10;10;6;12;7;8;6;5;7;9;91
"430280 CACAPAVA DO SUL";23;21;22;32;28;34;37;22;27;21;15;21;303
"430290 CACEQUI";11;6;12;8;8;5;6;6;9;6;10;11;98
"430300 CACHOEIRA DO SUL";49;67;85;74;95;80;113;94;77;73;65;73;945
"430310 CACHOEIRINHA";31;36;44;57;48;49;50;45;47;47;36;45;535
"430320 CACIQUE DOBLE";-;-;-;2;2;1;1;3;-;-;2;2;13
"430330 CAIBATE";6;2;4;1;5;1;1;4;3;3;3;3;36
"430340 CAICARA";1;-;-;3;2;4;1;4;2;4;3;2;26
"430350 CAMAQUA";62;43;70;47;52;65;76;69;59;64;42;52;701
"430355 CAMARGO";-;-;3;-;-;1;1;-;2;-;-;1;8
"430360 CAMBARA DO SUL";2;1;1;5;1;1;4;7;3;-;2;4;31
"430367 CAMPESTRE DA SERRA";-;1;1;-;-;-;-;-;1;1;2;1;7
"430370 CAMPINA DAS MISSOES";1;2;3;6;3;6;4;7;3;5;5;3;48
"430380 CAMPINAS DO SUL";1;2;3;4;6;4;4;7;4;3;2;6;46
"430390 CAMPO BOM";29;23;42;20;56;46;48;34;21;31;27;43;420
"430400 CAMPO NOVO";2;-;5;-;2;9;4;3;2;8;4;2;41
"430410 CAMPOS BORGES";5;1;1;2;1;2;-;2;1;-;-;1;16
"430420 CANDELARIA";23;13;15;19;34;24;32;26;24;27;20;20;277
"430430 CANDIDO GODOI";5;7;3;5;5;7;5;4;6;9;10;7;73
"430435 CANDIOTA";-;1;2;6;3;2;3;5;3;7;1;1;34
"430440 CANELA";17;12;19;6;29;20;20;14;16;21;21;15;210
"430450 CANGUCU";52;29;35;34;33;46;53;43;42;47;42;35;491
"430460 CANOAS";236;195;197;236;248;241;251;229;260;227;182;242;2744
"430461 CANUDOS DO VALE";-;-;-;1;-;1;-;1;-;-;1;-;4
"430462 CAPAO BONITO DO SUL";-;-;-;-;-;1;1;-;-;2;-;-;4
"430463 CAPAO DA CANOA";52;40;38;43;49;43;48;40;38;35;39;52;517
"430465 CAPAO DO CIPO";1;-;1;-;-;-;-;1;-;-;-;-;3
"430466 CAPAO DO LEAO";4;5;8;2;5;8;8;8;5;10;6;8;77
"430467 CAPIVARI DO SUL";-;-;-;2;1;1;2;-;2;1;1;1;11
"430468 CAPELA DE SANTANA";6;-;3;3;2;3;2;-;-;2;1;2;24
"430469 CAPITAO";-;1;1;-;-;1;1;-;-;-;-;1;5
"430470 CARAZINHO";60;46;53;52;63;67;44;55;60;61;53;53;667
"430471 CARAA";-;2;1;1;1;7;1;4;1;-;1;1;20
"430480 CARLOS BARBOSA";19;8;12;16;17;10;20;14;15;9;8;14;162
"430485 CARLOS GOMES";-;1;-;-;-;1;2;2;1;-;-;-;7
"430490 CASCA";7;1;6;6;9;5;6;5;6;5;7;5;68
"430495 CASEIROS";1;2;-;1;1;-;2;-;1;-;-;-;8
"430500 CATUIPE";6;2;1;6;2;1;2;5;1;4;3;6;39
"430510 CAXIAS DO SUL";308;277;268;304;327;351;353;354;319;331;289;312;3793
"430511 CENTENARIO";-;1;-;1;1;-;-;-;1;-;1;-;5
"430512 CERRITO";1;1;1;1;-;4;1;1;-;2;3;3;18
"430513 CERRO BRANCO";1;4;1;3;2;2;1;3;1;1;-;5;24
"430515 CERRO GRANDE";-;1;1;-;-;-;-;1;1;1;-;-;5
"430517 CERRO GRANDE DO SUL";2;2;3;1;2;1;2;2;3;3;4;7;32
"430520 CERRO LARGO";4;6;5;13;10;13;15;18;10;11;12;18;135
"430530 CHAPADA";6;3;6;8;9;3;5;8;9;6;5;2;70
"430535 CHARQUEADAS";17;16;12;15;13;18;19;18;11;18;16;14;187
"430537 CHARRUA";-;-;1;-;-;-;1;-;-;-;-;-;2
"430540 CHIAPETTA";5;-;2;2;4;8;3;4;6;-;2;4;40
"430543 CHUI";1;-;1;-;-;1;-;1;1;-;1;-;6
"430544 CHUVISCA";-;-;3;1;2;3;1;-;-;1;-;2;13
"430545 CIDREIRA";12;10;12;7;7;7;6;6;6;12;11;9;105
"430550 CIRIACO";1;1;3;1;2;1;1;-;-;1;3;-;14
"430558 COLINAS";2;1;1;2;-;-;1;-;-;1;-;-;8
"430560 COLORADO";2;-;-;2;1;2;-;1;1;1;-;1;11
"430570 CONDOR";5;2;3;1;6;3;4;2;1;5;2;3;37
"430580 CONSTANTINA";7;5;6;3;5;10;7;5;8;3;12;3;74
"430583 COQUEIRO BAIXO";2;-;-;-;-;1;1;1;-;-;-;1;6
"430585 COQUEIROS DO SUL";1;-;-;-;-;-;-;-;-;-;3;-;4
"430587 CORONEL BARROS";1;-;-;1;4;1;-;3;3;1;1;-;15
"430590 CORONEL BICACO";3;2;2;1;3;5;3;2;5;2;2;5;35
"430593 CORONEL PILAR";-;-;-;-;-;1;-;-;-;-;-;-;1
"430595 COTIPORA";-;1;1;-;1;1;-;1;1;-;1;1;8
"430597 COXILHA";-;1;-;-;-;1;1;2;1;1;1;-;8
"430600 CRISSIUMAL";12;5;8;8;12;10;13;11;11;7;8;4;109
