"Município";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"430605 CRISTAL";1;2;2;5;-;3;2;2;2;2;1;6;28
"430607 CRISTAL DO SUL";1;-;1;-;1;1;3;1;1;-;-;1;10
"430610 CRUZ ALTA";57;62;51;51;56;70;50;58;63;60;59;62;699
"430613 CRUZALTENSE";-;-;-;1;-;1;-;-;1;-;-;-;3
"430620 CRUZEIRO DO SUL";7;13;6;6;9;10;7;10;10;11;6;8;103
"430630 DAVID CANABARRO";4;5;3;2;5;5;7;7;2;5;6;1;52
"430632 DERRUBADAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"430635 DEZESSEIS DE NOVEMBRO";-;1;2;-;1;2;1;1;-;1;1;-;10
"430637 DILERMANDO DE AGUIAR";1;1;1;-;1;-;-;1;1;-;-;-;6
"430640 DOIS IRMAOS";10;7;19;15;14;11;9;11;10;8;4;16;134
"430642 DOIS IRMAOS DAS MISSOES";-;-;1;-;3;1;3;1;-;2;-;1;12
"430645 DOIS LAJEADOS";1;-;4;5;6;5;2;5;2;7;3;5;45
"430650 DOM FELICIANO";6;3;7;8;13;7;3;5;7;5;5;6;75
"430655 DOM PEDRO DE ALCANTARA";1;2;1;2;2;-;2;-;1;-;-;1;12
"430660 DOM PEDRITO";15;26;19;31;23;36;33;28;34;30;26;32;333
"430670 DONA FRANCISCA";-;1;3;1;1;-;-;-;-;1;-;-;7
"430673 DOUTOR MAURICIO CARDOSO";2;-;2;-;1;-;1;1;-;-;-;1;8
"430675 DOUTOR RICARDO";-;-;1;-;-;-;-;-;1;-;-;1;3
"430676 ELDORADO DO SUL";7;14;9;8;10;14;16;12;17;8;8;6;129
"430680 ENCANTADO";19;16;19;22;21;26;23;24;24;18;28;25;265
"430690 ENCRUZILHADA DO SUL";20;23;8;20;16;9;23;20;18;21;10;17;205
"430692 ENGENHO VELHO";-;-;-;-;-;1;1;-;-;-;1;-;3
"430693 ENTRE-IJUIS";2;-;1;-;2;2;2;1;-;-;1;1;12
"430695 ENTRE RIOS DO SUL";-;1;1;1;1;1;4;-;-;1;-;3;13
"430697 EREBANGO";-;-;-;-;-;-;-;-;-;-;1;1;2
"430700 ERECHIM";102;88;94;94;93;114;125;95;84;97;96;98;1180
"430705 ERNESTINA";1;2;1;-;2;-;1;1;1;-;2;-;11
"430710 HERVAL";5;3;5;2;7;7;7;3;6;3;1;4;53
"430720 ERVAL GRANDE";3;-;2;-;3;3;3;-;1;4;6;1;26
"430730 ERVAL SECO";2;2;3;5;4;10;-;3;1;3;3;3;39
"430740 ESMERALDA";-;1;-;-;3;1;1;-;-;1;-;3;10
"430745 ESPERANCA DO SUL";-;1;1;-;1;1;-;2;1;2;-;2;11
"430750 ESPUMOSO";13;6;10;6;12;20;20;25;7;12;13;13;157
"430755 ESTACAO";5;5;1;3;5;2;4;2;5;3;2;1;38
"430760 ESTANCIA VELHA";17;7;14;18;16;22;17;20;12;25;15;13;196
"430770 ESTEIO";45;43;45;37;43;51;49;39;48;43;43;48;534
"430780 ESTRELA";28;24;35;31;26;30;33;23;36;37;19;19;341
"430781 ESTRELA VELHA";-;1;-;-;-;1;-;2;-;-;-;-;4
"430783 EUGENIO DE CASTRO";-;-;1;-;-;1;1;1;1;-;1;2;8
"430786 FAGUNDES VARELA";-;-;1;-;-;-;-;-;-;1;1;-;3
"430790 FARROUPILHA";31;31;32;33;41;39;31;35;32;40;31;28;404
"430800 FAXINAL DO SOTURNO";19;13;9;11;19;14;19;15;15;16;10;14;174
"430805 FAXINALZINHO";-;-;2;-;-;-;1;1;-;2;-;1;7
"430807 FAZENDA VILANOVA";2;2;-;1;-;-;-;1;-;2;2;2;12
"430810 FELIZ";3;8;12;8;17;10;6;8;9;10;10;4;105
"430820 FLORES DA CUNHA";11;9;8;17;19;10;6;16;9;15;10;14;144
"430825 FLORIANO PEIXOTO";-;-;-;-;1;1;-;-;-;-;1;-;3
"430830 FONTOURA XAVIER";1;3;1;2;-;9;2;3;5;4;2;5;37
"430840 FORMIGUEIRO";5;9;4;5;6;5;3;4;5;5;5;6;62
"430843 FORQUETINHA";-;2;-;-;3;1;4;2;2;1;2;2;19
"430845 FORTALEZA DOS VALOS";1;3;2;2;4;2;1;1;3;2;3;1;25
"430850 FREDERICO WESTPHALEN";16;17;18;24;22;28;33;30;15;16;24;24;267
"430860 GARIBALDI";21;15;19;18;22;20;22;17;21;25;19;23;242
"430865 GARRUCHOS";-;1;1;2;1;-;-;-;-;1;1;1;8
"430870 GAURAMA";4;2;4;2;6;4;4;4;2;4;3;2;41
"430880 GENERAL CAMARA";1;2;3;1;2;1;1;4;-;5;1;3;24
"430885 GENTIL";1;1;-;-;1;-;-;1;-;-;2;-;6
"430890 GETULIO VARGAS";13;10;8;8;15;15;19;18;13;17;8;12;156
"430900 GIRUA";10;6;4;9;16;8;23;9;8;18;9;10;130
"430905 GLORINHA";2;1;-;-;1;-;2;3;3;2;1;-;15
"430910 GRAMADO";25;17;24;21;30;26;34;26;17;13;30;19;282
"430912 GRAMADO DOS LOUREIROS";-;-;2;-;1;-;2;-;-;-;-;1;6
"430915 GRAMADO XAVIER";-;-;-;-;2;1;-;1;-;-;-;1;5
"430920 GRAVATAI";114;83;121;134;138;155;166;155;102;116;120;128;1532
"430925 GUABIJU";-;-;1;2;1;1;2;2;8;-;2;-;19
"430930 GUAIBA";44;28;49;41;42;58;45;50;46;57;35;54;549
"430940 GUAPORE";19;11;7;17;25;21;17;17;21;16;11;12;194
"430950 GUARANI DAS MISSOES";11;6;5;8;13;13;13;11;10;10;9;7;116
"430955 HARMONIA";1;-;-;-;-;1;-;-;1;1;-;-;4
"430957 HERVEIRAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"430960 HORIZONTINA";11;14;16;14;16;6;12;13;11;12;6;4;135
"430965 HULHA NEGRA";2;-;1;2;-;-;-;-;-;-;-;1;6
"430970 HUMAITA";3;4;3;2;1;1;6;1;2;1;1;4;29
"430975 IBARAMA";1;1;1;-;1;1;1;-;-;-;2;-;8
"430980 IBIACA";2;-;2;1;1;-;2;3;4;2;2;1;20
"430990 IBIRAIARAS";3;-;2;2;3;2;-;3;4;2;1;1;23
"430995 IBIRAPUITA";1;-;-;-;-;1;-;-;-;-;-;-;2
"431000 IBIRUBA";7;7;14;11;26;11;7;8;12;6;6;9;124
"431010 IGREJINHA";11;12;13;13;25;18;17;18;16;14;20;23;200
"431020 IJUI";93;85;90;90;120;107;106;104;104;96;76;92;1163
"431030 ILOPOLIS";5;-;3;-;9;2;5;1;2;7;4;1;39
"431033 IMBE";15;14;11;13;14;14;19;9;7;9;5;14;144
"431036 IMIGRANTE";2;1;-;1;1;1;1;-;1;2;2;1;13
"431040 INDEPENDENCIA";-;-;2;2;3;-;1;2;1;2;3;1;17
"431041 INHACORA";-;1;-;1;1;-;-;-;-;-;2;1;6
"431043 IPE";-;-;-;1;2;-;-;-;-;1;1;1;6
"431046 IPIRANGA DO SUL";-;1;-;-;-;1;-;-;-;-;-;3;5
"431050 IRAI";5;5;1;2;12;7;8;5;4;9;4;9;71
"431053 ITAARA";-;1;3;-;2;1;-;-;1;1;1;1;11
"431055 ITACURUBI";-;-;1;-;1;-;2;-;-;1;-;-;5
"431057 ITAPUCA";-;-;1;1;1;-;-;1;1;-;-;-;5
"431060 ITAQUI";29;21;20;23;16;16;20;19;19;18;27;17;245
"431065 ITATI";1;1;-;3;1;1;2;4;1;2;-;-;16
"431070 ITATIBA DO SUL";-;-;1;1;1;4;-;2;1;2;-;2;14
"431075 IVORA";1;-;-;-;-;2;-;1;1;3;2;-;10
"431080 IVOTI";9;3;12;7;10;16;8;14;22;18;18;11;148
"431085 JABOTICABA";4;2;1;1;2;6;6;1;2;2;-;1;28
"431087 JACUIZINHO";1;-;1;1;-;2;-;1;-;-;-;1;7
"431090 JACUTINGA";3;5;4;2;6;5;2;2;4;2;3;3;41
"431100 JAGUARAO";10;17;12;15;27;19;29;27;16;20;15;14;221
"431110 JAGUARI";4;9;5;10;12;13;9;13;9;7;5;9;105
"431112 JAQUIRANA";1;-;2;-;1;1;3;2;3;2;-;-;15
"431113 JARI";-;-;-;1;-;-;-;-;1;-;-;-;2
"431115 JOIA";2;4;-;4;4;2;3;4;1;1;4;2;31
"431120 JULIO DE CASTILHOS";8;11;9;7;10;8;14;9;8;6;7;5;102
"431123 LAGOA BONITA DO SUL";1;-;-;-;1;-;-;1;1;-;-;1;5
"431125 LAGOAO";3;-;2;3;5;2;1;3;3;3;3;3;31
"431130 LAGOA VERMELHA";22;21;22;25;17;28;26;13;22;22;19;19;256
"431140 LAJEADO";75;49;47;65;79;102;68;64;67;75;65;78;834
"431142 LAJEADO DO BUGRE";1;2;-;1;2;2;1;2;-;-;1;-;12
"431150 LAVRAS DO SUL";4;4;5;2;2;1;2;3;2;-;4;3;32
"431160 LIBERATO SALZANO";3;4;1;3;4;3;2;5;3;1;1;1;31
"431162 LINDOLFO COLLOR";-;-;-;1;1;1;-;2;2;1;1;-;9
"431164 LINHA NOVA";1;-;-;-;-;1;-;1;-;1;-;-;4
"431170 MACHADINHO";4;3;1;2;1;2;1;1;1;1;-;-;17
"431171 MACAMBARA";1;1;1;1;-;1;1;1;-;1;-;-;8
"431173 MAMPITUBA";1;1;1;-;-;-;-;-;-;-;1;-;4
"431177 MAQUINE";1;4;2;3;2;8;4;2;3;5;2;4;40
"431179 MARATA";-;-;1;-;-;1;1;1;1;1;1;-;7
"431180 MARAU";19;15;17;21;30;36;36;14;23;12;25;21;269
"431190 MARCELINO RAMOS";3;-;3;1;5;1;1;6;2;2;4;4;32
"431198 MARIANA PIMENTEL";1;2;1;1;-;2;1;1;1;2;2;-;14
"431200 MARIANO MORO";-;1;1;-;-;1;-;1;-;-;1;-;5
"431205 MARQUES DE SOUZA";4;5;5;5;8;6;7;5;7;5;8;4;69
"431210 MATA";3;1;2;-;5;2;4;4;4;2;2;5;34
"431213 MATO CASTELHANO";2;-;2;-;1;-;-;-;1;-;1;1;8
"431215 MATO LEITAO";-;-;-;2;-;2;2;2;1;1;1;1;12
"431217 MATO QUEIMADO";-;-;-;-;-;-;-;1;-;-;-;-;1
"431220 MAXIMILIANO DE ALMEIDA";4;-;-;3;3;1;5;2;4;1;2;3;28
"431225 MINAS DO LEAO";2;2;-;1;4;-;2;5;5;2;1;3;27
"431230 MIRAGUAI";1;-;1;1;-;-;-;2;-;3;2;3;13
"431235 MONTAURI";-;-;-;1;-;1;-;-;-;1;-;1;4
"431237 MONTE ALEGRE DOS CAMPOS";1;-;-;1;1;-;1;2;2;1;-;-;9
"431238 MONTE BELO DO SUL";2;1;1;1;1;1;-;-;1;-;-;-;8
"431240 MONTENEGRO";64;51;63;56;59;68;66;76;47;57;56;59;722
"431242 MORMACO";-;-;2;-;-;-;-;1;1;-;-;-;4
"431244 MORRINHOS DO SUL";-;-;-;-;1;-;-;-;-;1;-;-;2
"431245 MORRO REDONDO";4;2;-;2;4;3;2;4;5;2;1;2;31
"431247 MORRO REUTER";-;1;2;-;-;4;2;4;3;4;-;4;24
"431250 MOSTARDAS";6;8;10;11;13;17;6;5;8;14;5;4;107
"431260 MUCUM";6;7;7;6;7;2;5;6;26;3;5;5;85
"431261 MUITOS CAPOES";-;-;1;2;2;2;-;2;-;-;1;-;10
"431262 MULITERNO";1;-;-;-;-;-;1;-;-;-;-;-;2
"431265 NAO-ME-TOQUE";12;9;15;11;21;17;18;9;12;13;9;10;156
"431267 NICOLAU VERGUEIRO";-;-;-;-;2;1;1;1;1;-;-;1;7
"431270 NONOAI";16;5;10;6;11;10;14;8;8;9;8;5;110
"431275 NOVA ALVORADA";2;-;1;-;3;3;-;-;2;2;-;-;13
"431280 NOVA ARACA";-;-;-;-;2;-;-;1;2;1;-;1;7
"431290 NOVA BASSANO";4;4;5;5;3;5;7;9;6;7;5;9;69
"431295 NOVA BOA VISTA";-;-;-;-;-;-;-;-;-;3;2;-;5
"431300 NOVA BRESCIA";4;3;3;1;2;3;4;4;4;2;1;1;32
"431301 NOVA CANDELARIA";1;-;-;-;-;-;-;-;-;1;-;-;2
"431303 NOVA ESPERANCA DO SUL";-;1;1;-;1;5;3;1;1;1;-;-;14
"431306 NOVA HARTZ";5;5;6;4;1;4;7;5;2;1;7;7;54
"431308 NOVA PADUA";-;1;-;-;1;-;2;-;-;-;-;-;4
"431310 NOVA PALMA";3;3;4;-;3;4;5;6;2;2;1;2;35
"431320 NOVA PETROPOLIS";11;14;14;17;25;19;27;23;12;17;11;18;208
"431330 NOVA PRATA";15;16;12;12;10;32;26;15;19;16;12;19;204
"431333 NOVA RAMADA";-;-;2;-;-;-;1;-;-;-;1;-;4
"431335 NOVA ROMA DO SUL";-;2;2;1;-;1;-;1;2;-;1;1;11
"431337 NOVA SANTA RITA";4;4;1;4;8;8;4;6;6;3;2;5;55
"431339 NOVO CABRAIS";2;2;-;2;1;-;-;1;1;2;2;2;15
"431340 NOVO HAMBURGO";142;125;150;137;175;172;213;180;144;164;145;171;1918
"431342 NOVO MACHADO";1;-;-;1;-;-;2;-;1;3;1;1;10
"431344 NOVO TIRADENTES";-;1;-;2;1;1;-;-;-;1;-;1;7
"431346 NOVO XINGU";-;1;-;1;1;1;-;-;-;-;3;-;7
"431349 NOVO BARREIRO";1;-;-;-;-;1;4;1;-;1;-;1;9
"431350 OSORIO";39;19;39;32;40;40;33;22;35;37;24;28;388
"431360 PAIM FILHO";1;4;-;1;-;5;4;2;1;6;-;-;24
"431365 PALMARES DO SUL";7;10;13;8;10;14;6;10;16;11;13;10;128
"431370 PALMEIRA DAS MISSOES";30;27;26;31;25;21;24;31;31;29;37;26;338
"431380 PALMITINHO";7;3;12;8;8;6;8;11;7;2;7;13;92
"431390 PANAMBI";16;22;10;20;24;26;14;12;16;19;16;9;204
"431395 PANTANO GRANDE";1;5;3;2;2;2;4;2;3;2;1;5;32
"431400 PARAI";6;8;-;1;3;1;8;6;3;3;1;1;41
"431402 PARAISO DO SUL";3;5;7;5;5;4;8;6;3;4;6;11;67
"431403 PARECI NOVO";1;-;2;2;-;1;-;1;1;1;-;1;10
"431405 PAROBE";21;25;18;28;38;35;44;32;24;24;53;41;383
"431406 PASSA SETE";4;4;-;2;1;-;1;1;1;-;4;-;18
"431407 PASSO DO SOBRADO";6;1;3;3;2;1;3;3;2;1;7;-;32
"431410 PASSO FUNDO";229;178;208;220;249;240;231;220;215;225;241;188;2644
"431413 PAULO BENTO";-;-;-;-;1;1;-;1;-;1;-;-;4
"431415 PAVERAMA";2;2;2;1;1;5;3;1;3;3;2;2;27
"431417 PEDRAS ALTAS";1;-;1;-;1;2;3;-;-;-;1;2;11
"431420 PEDRO OSORIO";3;5;7;5;8;2;15;9;4;7;5;7;77
"431430 PEJUCARA";2;2;1;3;3;1;1;2;4;-;2;-;21
"431440 PELOTAS";309;275;328;327;380;367;356;342;316;360;270;319;3949
"431442 PICADA CAFE";1;1;2;-;1;1;2;2;3;-;2;1;16
"431445 PINHAL";-;-;2;1;1;-;2;-;-;1;-;-;7
"431446 PINHAL DA SERRA";-;-;-;-;-;1;-;-;-;1;-;-;2
"431447 PINHAL GRANDE";1;1;4;-;2;6;1;4;4;1;-;-;24
"431449 PINHEIRINHO DO VALE";1;-;-;-;1;-;-;1;2;2;1;1;9
"431450 PINHEIRO MACHADO";4;5;4;8;8;13;16;7;12;4;11;8;100
"431454 PINTO BANDEIRA";2;-;-;2;1;-;-;-;-;-;-;2;7
"431455 PIRAPO";1;1;-;-;1;-;2;1;-;-;2;-;8
"431460 PIRATINI";10;11;11;9;18;22;23;21;5;13;12;15;170
"431470 PLANALTO";8;7;9;9;1;11;8;5;7;5;6;10;86
"431475 POCO DAS ANTAS";1;-;-;1;1;-;1;-;1;-;-;1;6
"431477 PONTAO";2;-;-;2;1;-;1;1;-;-;-;-;7
"431478 PONTE PRETA";-;1;-;-;-;-;-;-;-;1;-;1;3
"431480 PORTAO";16;12;12;16;12;20;25;21;17;14;19;13;197
"431490 PORTO ALEGRE";1344;1126;1422;1297;1554;1548;1576;1508;1468;1461;1336;1393;17033
"431500 PORTO LUCENA";2;4;2;-;5;8;5;2;6;1;3;2;40
"431505 PORTO MAUA";-;-;-;-;-;-;-;-;-;-;1;2;3
"431507 PORTO VERA CRUZ";1;1;-;1;-;-;-;-;1;-;-;-;4
"431510 PORTO XAVIER";4;8;7;7;11;10;5;6;7;7;9;9;90
"431513 POUSO NOVO";-;-;1;1;-;1;-;2;-;-;-;-;5
"431514 PRESIDENTE LUCENA";-;2;1;-;1;-;-;-;1;-;1;-;6
"431515 PROGRESSO";5;4;7;9;8;8;6;7;5;7;2;4;72
"431517 PROTASIO ALVES";1;1;-;-;-;1;-;-;-;2;-;-;5
"431520 PUTINGA";1;1;-;3;2;3;1;4;1;1;4;-;21
"431530 QUARAI";20;20;11;16;20;19;24;16;11;13;18;19;207
"431531 QUATRO IRMAOS";-;-;-;-;-;-;-;-;-;1;-;2;3
"431532 QUEVEDOS";1;-;-;1;-;-;-;-;-;1;1;-;4
"431535 QUINZE DE NOVEMBRO";-;2;1;4;1;2;1;2;3;4;2;1;23
"431540 REDENTORA";2;1;2;1;1;1;3;2;-;4;1;-;18
"431545 RELVADO";1;-;2;1;-;-;1;-;-;-;-;-;5
"431550 RESTINGA SECA";12;6;11;5;9;9;14;8;8;11;18;10;121
"431555 RIO DOS INDIOS";-;-;2;5;3;1;1;1;-;-;-;2;15
"431560 RIO GRANDE";166;132;198;171;168;188;210;205;179;193;183;175;2168
"431570 RIO PARDO";32;23;18;32;23;37;24;40;28;22;32;28;339
"431575 RIOZINHO";3;1;1;3;1;2;5;3;3;1;3;2;28
"431580 ROCA SALES";5;2;4;6;10;6;9;4;19;4;8;9;86
"431590 RODEIO BONITO";6;3;3;5;5;5;12;8;5;6;10;9;77
"431595 ROLADOR";-;-;-;1;1;-;-;1;-;2;-;1;6
"431600 ROLANTE";5;10;13;10;12;19;17;13;8;16;6;5;134
