"Município";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"430003 ACEGUA";1;1;1;3;4;1;7;-;3;5;3;-;29
"430005 AGUA SANTA";-;-;1;-;-;-;-;1;-;1;1;-;4
"430010 AGUDO";11;14;6;9;12;14;11;13;10;10;9;8;127
"430020 AJURICABA";3;5;4;3;3;-;4;1;-;2;-;3;28
"430030 ALECRIM";8;6;8;9;15;11;11;13;6;11;8;10;116
"430040 ALEGRETE";53;65;63;62;84;66;93;90;52;59;51;45;783
"430045 ALEGRIA";-;2;3;2;6;1;3;3;-;-;2;1;23
"430047 ALMIRANTE TAMANDARE DO SUL";-;1;-;-;-;-;1;1;1;-;-;-;4
"430050 ALPESTRE";2;7;8;4;6;7;11;6;3;3;1;6;64
"430057 ALTO FELIZ";-;1;1;-;-;-;3;-;1;3;-;1;10
"430060 ALVORADA";62;59;82;76;72;94;84;81;75;87;74;65;911
"430063 AMARAL FERRADOR";1;2;1;-;3;2;2;3;3;-;3;2;22
"430064 AMETISTA DO SUL";3;2;5;3;5;4;6;4;3;3;3;3;44
"430066 ANDRE DA ROCHA";-;-;-;1;-;-;-;-;-;1;-;-;2
"430070 ANTA GORDA";4;-;3;5;3;2;2;2;2;4;2;6;35
"430080 ANTONIO PRADO";10;15;11;12;9;11;9;11;13;11;7;13;132
"430085 ARAMBARE";-;-;-;-;-;1;2;1;3;1;3;3;14
"430087 ARARICA";3;4;-;1;1;1;2;-;1;1;-;1;15
"430090 ARATIBA";3;1;4;1;2;2;9;3;4;7;3;5;44
"430100 ARROIO DO MEIO";9;12;11;8;15;22;12;12;16;7;15;9;148
"430105 ARROIO DO SAL";8;9;5;4;1;6;5;7;4;5;6;5;65
"430107 ARROIO DO PADRE";1;-;-;1;2;2;3;-;4;1;1;-;15
"430110 ARROIO DOS RATOS";4;5;3;6;2;5;2;4;9;2;6;5;53
"430120 ARROIO DO TIGRE";12;6;16;13;12;17;19;14;16;12;11;14;162
"430130 ARROIO GRANDE";9;8;8;14;16;13;7;15;12;19;11;7;139
"430140 ARVOREZINHA";5;8;7;7;9;4;8;15;4;9;5;7;88
"430150 AUGUSTO PESTANA";3;1;3;2;4;3;2;3;-;1;-;-;22
"430155 AUREA";-;1;-;2;3;-;-;3;5;2;1;2;19
"430160 BAGE";86;88;101;119;135;126;123;131;102;103;86;110;1310
"430163 BALNEARIO PINHAL";10;11;10;8;12;16;15;10;9;7;11;12;131
"430165 BARAO";-;2;2;4;1;-;2;-;-;-;1;3;15
"430170 BARAO DE COTEGIPE";1;2;-;2;1;5;6;5;3;3;3;2;33
"430175 BARAO DO TRIUNFO";1;2;-;1;3;2;7;-;2;4;2;2;26
"430180 BARRACAO";2;1;2;2;-;2;-;-;1;6;-;4;20
"430185 BARRA DO GUARITA";-;-;1;2;-;1;-;1;3;-;-;-;8
"430187 BARRA DO QUARAI";-;-;-;1;-;1;-;-;1;-;2;-;5
"430190 BARRA DO RIBEIRO";6;4;6;10;7;4;10;6;2;7;4;6;72
"430195 BARRA FUNDA";-;-;-;-;-;1;1;-;2;2;-;-;6
"430200 BARROS CASSAL";7;2;3;1;4;4;8;1;-;2;2;3;37
"430205 BENJAMIN CONSTANT DO SUL";-;-;-;-;-;2;-;-;-;-;-;-;2
"430210 BENTO GONCALVES";67;75;67;80;92;79;82;90;68;70;71;80;921
"430215 BOA VISTA DAS MISSOES";1;-;-;-;-;2;-;-;1;-;-;-;4
"430220 BOA VISTA DO BURICA";2;3;2;3;6;3;4;7;3;3;6;5;47
"430222 BOA VISTA DO CADEADO";-;1;-;-;1;-;-;-;1;2;1;1;7
"430223 BOA VISTA DO INCRA";-;1;-;-;-;1;-;1;-;-;-;2;5
"430225 BOA VISTA DO SUL";-;1;-;-;2;1;-;-;-;1;-;-;5
"430230 BOM JESUS";3;3;6;7;6;7;11;3;2;11;3;5;67
"430235 BOM PRINCIPIO";6;4;9;6;14;10;10;6;7;9;7;8;96
"430237 BOM PROGRESSO";-;-;-;-;-;-;-;-;-;-;-;1;1
"430240 BOM RETIRO DO SUL";6;13;5;10;13;10;11;13;8;7;7;13;116
"430245 BOQUEIRAO DO LEAO";3;3;4;1;8;5;5;7;3;6;2;4;51
"430250 BOSSOROCA";-;1;1;1;2;1;1;-;3;2;3;-;15
"430258 BOZANO";-;-;-;-;-;-;1;-;-;-;-;-;1
"430260 BRAGA";1;-;-;1;-;-;-;1;-;-;-;-;3
"430265 BROCHIER";4;2;3;3;2;4;1;2;1;2;2;2;28
"430270 BUTIA";8;5;10;10;9;6;11;8;5;5;7;1;85
"430280 CACAPAVA DO SUL";21;26;17;24;46;28;26;37;29;26;27;27;334
"430290 CACEQUI";12;7;7;5;5;13;9;13;8;5;12;4;100
"430300 CACHOEIRA DO SUL";79;70;76;97;114;92;129;107;94;88;88;69;1103
"430310 CACHOEIRINHA";36;37;38;38;76;75;62;48;56;52;35;52;605
"430320 CACIQUE DOBLE";-;4;-;2;3;1;-;-;-;-;-;1;11
"430330 CAIBATE";3;4;4;-;4;3;1;3;4;3;2;5;36
"430340 CAICARA";2;3;2;2;4;3;3;2;1;1;1;4;28
"430350 CAMAQUA";61;41;77;61;64;66;88;61;67;71;69;59;785
"430355 CAMARGO";-;-;1;1;1;2;-;-;-;-;3;-;8
"430360 CAMBARA DO SUL";3;2;7;2;5;2;5;3;1;3;3;4;40
